name,before_wall_median_ns,after_wall_median_ns,pooled_wall_delta_pct,pair_delta_min_pct,pair_delta_median_pct,pair_delta_max_pct,positive_pairs,before_allocated_words,after_allocated_words,allocation_delta_words
effect.observability.cause.construction.concurrent,36001.205444,36001.205444,0.000,-7.927,0.000,6.338,5,120010,120010,0
effect.observability.cause.construction.fail,15974.044800,15974.044800,0.000,-6.944,0.000,7.463,3,20010,20010,0
effect.observability.cause.construction.suppressed,29087.066650,29087.066650,0.000,-19.231,0.000,26.606,5,50010,50010,0
effect.observability.eta_otel.encoder.log.100,42915.344238,39100.646973,-8.889,-11.351,-5.233,4.478,1,34499,34499,0
effect.observability.eta_otel.encoder.metric.100,9059.906006,9059.906006,0.000,-38.889,0.000,0.000,0,3250,3250,0
effect.observability.eta_otel.encoder.span.100,52928.924561,49114.227295,-7.207,-12.554,-5.936,11.682,1,42733,42733,0
effect.observability.eta_otel.encoder.span.1000,527143.478394,500917.434692,-4.975,-14.838,-3.591,20.609,1,475008,475008,0
effect.observability.in_memory_logger.log,2036809.921265,1997947.692871,-1.908,-16.039,-1.281,6.131,4,840930,820930,-20000
effect.observability.in_memory_meter.metric,1134157.180786,1120090.484619,-1.240,-8.473,-1.844,5.567,5,680930,580930,-100000
effect.observability.in_memory_meter.metric_updates.4x25000,12022018.432617,12126922.607422,0.873,-16.041,1.186,10.178,10,4000943,4000947,4
effect.observability.in_memory_meter.metric_updates_intercept_keep.4x25000,10881900.787354,10855913.162231,-0.239,-8.042,0.367,10.083,8,5101044,5101048,4
effect.observability.in_memory_meter.metric_updates_lazy.4x25000,13958930.969238,11710166.931152,-16.110,-22.036,-15.735,-3.820,0,4200942,4000947,-199995
effect.observability.in_memory_tracer.auto,11417865.753174,11625051.498413,1.815,-4.610,1.475,4.451,10,6821098,6821098,0
effect.observability.in_memory_tracer.no_auto,11538028.717041,11713981.628418,1.525,-3.182,1.275,4.536,12,6821098,6821098,0
effect.observability.named_span_only,11391878.128052,11543035.507202,1.327,-4.268,1.110,4.081,9,6821098,6821098,0
effect.observability.named_with_attrs,144594192.504883,137027025.222778,-5.233,-12.973,-6.062,13.187,4,17651090,17541096,-109994
effect.observability.noop_logger.log,1804113.388062,1744031.906128,-3.330,-10.257,-1.039,7.139,6,670901,650901,-20000
effect.observability.noop_meter.metric,918865.203857,904798.507690,-1.531,-25.085,-1.222,11.486,6,510901,410901,-100000
effect.observability.noop_tracer.auto,8213043.212891,8450984.954834,2.897,-0.478,3.046,6.567,13,4610903,4610903,0
effect.observability.noop_tracer.no_auto,8301973.342896,8674860.000610,4.492,-4.665,4.536,8.086,13,4610903,4610903,0
effect.observability.trace_context.extract_inject,4822969.436646,4840135.574341,0.356,-7.730,-1.261,8.868,7,1940010,1940010,0
