name,pair_median_delta_pct,pooled_delta_pct,before_mean_ns,after_mean_ns,allocation_delta_words
effect.observability.noop_tracer.no_auto,-0.329,-0.205,8788188,8770180,+0
effect.observability.noop_tracer.auto,+1.218,+1.111,8109336,8199416,+0
effect.observability.in_memory_tracer.no_auto,+1.821,+1.936,11443800,11665312,+0
effect.observability.in_memory_tracer.auto,+1.884,+1.382,11310201,11466561,+0
effect.observability.named_span_only,+1.017,+1.074,11347220,11469136,+0
effect.observability.named_with_attrs,-1.793,-3.107,151423306,146719276,-109994
effect.observability.noop_logger.log,-0.167,-0.104,1783323,1781469,-20000
effect.observability.in_memory_logger.log,-0.004,+0.187,2034669,2038468,-20000
effect.observability.noop_meter.metric,+0.475,-0.586,915400,910033,-100000
effect.observability.in_memory_meter.metric,-1.072,-0.513,1134274,1128451,-100000
effect.observability.eta_otel.encoder.span.100,+0.608,-0.429,53045,52818,+0
effect.observability.eta_otel.encoder.span.1000,+0.525,+1.140,504880,510634,+0
effect.observability.eta_otel.encoder.log.100,+3.380,+8.870,40261,43832,+0
effect.observability.eta_otel.encoder.metric.100,+0.775,+0.992,10681,10787,+0
effect.observability.cause.construction.fail,-2.899,-4.499,16605,15857,+0
effect.observability.cause.construction.concurrent,+0.891,+1.330,36250,36732,+0
effect.observability.cause.construction.suppressed,+1.108,+2.610,28621,29368,+0
effect.observability.trace_context.extract_inject,+2.875,+2.824,4722563,4855908,+0
