name,operations,sample,wall_ns,allocated_words
eta_signal.raw.changed.depth_1,1048576,1,563.044523,797.000228
eta_signal.raw.changed.depth_1,1048576,2,572.651061,797.000228
eta_signal.raw.changed.depth_1,1048576,3,563.486310,797.000228
eta_signal.raw.changed.depth_1,1048576,4,562.047944,797.000228
eta_signal.raw.changed.depth_1,1048576,5,560.274202,797.000228
eta_signal.raw.changed.depth_1,1048576,6,563.242793,797.000228
eta_signal.raw.changed.depth_1,1048576,7,564.414904,797.000228
eta_signal.raw.changed.depth_1,1048576,8,564.293032,797.000228
eta_signal.raw.changed.depth_1,1048576,9,564.031780,797.000228
eta_signal.effect.changed.depth_1,1048576,1,569.151780,807.000269
eta_signal.effect.changed.depth_1,1048576,2,572.026238,807.000269
eta_signal.effect.changed.depth_1,1048576,3,580.722826,807.000269
eta_signal.effect.changed.depth_1,1048576,4,578.022082,807.000269
eta_signal.effect.changed.depth_1,1048576,5,576.680122,807.000269
eta_signal.effect.changed.depth_1,1048576,6,575.108515,807.000269
eta_signal.effect.changed.depth_1,1048576,7,579.284688,807.000269
eta_signal.effect.changed.depth_1,1048576,8,582.249641,807.000269
eta_signal.effect.changed.depth_1,1048576,9,581.423819,807.000269
eta_signal.lane.changed.depth_1,1048576,1,842.319650,976.000043
eta_signal.lane.changed.depth_1,1048576,2,842.068857,976.000043
eta_signal.lane.changed.depth_1,1048576,3,842.215513,976.000043
eta_signal.lane.changed.depth_1,1048576,4,842.448344,976.000043
eta_signal.lane.changed.depth_1,1048576,5,842.232794,976.000043
eta_signal.lane.changed.depth_1,1048576,6,843.520183,976.000043
eta_signal.lane.changed.depth_1,1048576,7,843.528596,976.000043
eta_signal.lane.changed.depth_1,1048576,8,840.399707,976.000043
eta_signal.lane.changed.depth_1,1048576,9,843.342832,976.000043
eta_signal.public_sync.changed.depth_1,524288,1,1632.785825,2059.000086
eta_signal.public_sync.changed.depth_1,524288,2,1638.300091,2059.000086
eta_signal.public_sync.changed.depth_1,524288,3,1647.527824,2059.000086
eta_signal.public_sync.changed.depth_1,524288,4,1652.225365,2059.000086
eta_signal.public_sync.changed.depth_1,524288,5,1650.148533,2059.000086
eta_signal.public_sync.changed.depth_1,524288,6,1642.109055,2059.000086
eta_signal.public_sync.changed.depth_1,524288,7,1643.957148,2059.000086
eta_signal.public_sync.changed.depth_1,524288,8,1643.281848,2059.000086
eta_signal.public_sync.changed.depth_1,524288,9,1637.162768,2059.000086
eta_signal.public_eio.changed.depth_1,262144,1,3756.992555,3233.000290
eta_signal.public_eio.changed.depth_1,262144,2,3770.354851,3233.000290
eta_signal.public_eio.changed.depth_1,262144,3,3765.178917,3233.000290
eta_signal.public_eio.changed.depth_1,262144,4,3797.222234,3233.000290
eta_signal.public_eio.changed.depth_1,262144,5,3788.692993,3233.000290
eta_signal.public_eio.changed.depth_1,262144,6,3755.169018,3233.000290
eta_signal.public_eio.changed.depth_1,262144,7,3743.317393,3233.000290
eta_signal.public_eio.changed.depth_1,262144,8,3742.718036,3233.000290
eta_signal.public_eio.changed.depth_1,262144,9,3736.427061,3233.000290
eta_signal.scheduled_eio.changed.depth_1,131072,1,3922.621545,3286.000580
eta_signal.scheduled_eio.changed.depth_1,131072,2,3908.111466,3286.000580
eta_signal.scheduled_eio.changed.depth_1,131072,3,3888.068022,3286.000580
eta_signal.scheduled_eio.changed.depth_1,131072,4,3892.509994,3286.000580
eta_signal.scheduled_eio.changed.depth_1,131072,5,3890.489097,3286.000580
eta_signal.scheduled_eio.changed.depth_1,131072,6,3896.460839,3286.000580
eta_signal.scheduled_eio.changed.depth_1,131072,7,3892.746463,3286.000580
eta_signal.scheduled_eio.changed.depth_1,131072,8,3895.254849,3286.000580
eta_signal.scheduled_eio.changed.depth_1,131072,9,3894.088877,3286.000580
eta_signal.observer_eio.changed.depth_1,131072,1,6236.808986,5373.000580
eta_signal.observer_eio.changed.depth_1,131072,2,6240.448784,5373.000580
eta_signal.observer_eio.changed.depth_1,131072,3,6248.230420,5373.000580
eta_signal.observer_eio.changed.depth_1,131072,4,6258.911526,5373.000580
eta_signal.observer_eio.changed.depth_1,131072,5,6250.900697,5373.000580
eta_signal.observer_eio.changed.depth_1,131072,6,6253.272659,5373.000580
eta_signal.observer_eio.changed.depth_1,131072,7,6254.533218,5373.000580
eta_signal.observer_eio.changed.depth_1,131072,8,6258.780559,5373.000580
eta_signal.observer_eio.changed.depth_1,131072,9,6260.246664,5373.000580
