depth,layer,baseline,median_wall_ns,median_allocated_words,delta_wall_ns,delta_allocated_words
1,raw,none,563.486310,797.000228,563.486310,797.000228
1,effect,raw,578.022082,807.000269,14.535772,10.000041
1,lane,effect,842.319650,976.000043,264.297568,168.999774
1,public_sync,lane,1643.281848,2059.000086,800.962198,1083.000043
1,public_eio,public_sync,3756.992555,3233.000290,2113.710707,1174.000204
1,scheduled_eio,public_eio,3894.088877,3286.000580,137.096322,53.000290
1,observer_eio,public_eio,6253.272659,5373.000580,2496.280104,2140.000290
1,timer_eio,observer_eio,9302.963008,7694.001160,3049.690349,2321.000580
10,raw,none,1378.444722,1409.000912,1378.444722,1409.000912
10,effect,raw,1375.396550,1419.000538,-3.048172,9.999626
10,lane,effect,1640.848041,1588.000086,265.451491,168.999548
10,public_sync,lane,2422.196303,2671.000172,781.348262,1083.000086
10,public_eio,public_sync,4566.818461,3845.000580,2144.622158,1174.000408
10,scheduled_eio,public_eio,4744.100806,3898.000580,177.282345,53.000000
10,observer_eio,public_eio,6999.152902,5985.000580,2432.334441,2140.000000
10,timer_eio,observer_eio,10305.357137,8360.001160,3306.204235,2375.000580
100,raw,none,9478.379070,7529.003647,9478.379070,7529.003647
100,effect,raw,9558.945749,7539.004303,80.566679,10.000656
100,lane,effect,9769.439203,7708.000687,210.493454,168.996384
100,public_sync,lane,10553.114407,8791.000687,783.675204,1083.000000
100,public_eio,public_sync,12656.862964,9965.001160,2103.748557,1174.000473
100,scheduled_eio,public_eio,12698.168575,10018.001160,41.305611,53.000000
100,observer_eio,public_eio,15134.093701,12105.001160,2477.230737,2140.000000
100,timer_eio,observer_eio,24147.979275,15020.002319,9013.885574,2915.001159
