pair,name,graph_size,operations,sample,wall_ns,allocated_words
1,incremental.raw.dynamic.switch,3,4194304,1,121.297830,43.000002
1,incremental.raw.dynamic.switch,3,4194304,2,122.018093,43.000002
1,incremental.raw.dynamic.switch,3,4194304,3,122.359722,43.000002
1,incremental.raw.dynamic.switch,3,4194304,4,122.635129,43.000002
1,incremental.raw.dynamic.switch,3,4194304,5,122.976530,43.000002
1,incremental.raw.dynamic.switch,3,4194304,6,122.173333,43.000002
1,incremental.raw.dynamic.switch,3,4194304,7,122.979884,43.000002
1,incremental.raw.dynamic.switch,3,4194304,8,124.065650,43.000002
1,incremental.raw.dynamic.switch,3,4194304,9,121.672144,43.000002
1,capsule.raw.dynamic.switch,3,16777216,1,11.130581,12.000001
1,capsule.raw.dynamic.switch,3,16777216,2,11.137544,12.000001
1,capsule.raw.dynamic.switch,3,16777216,3,11.170272,12.000001
1,capsule.raw.dynamic.switch,3,16777216,4,11.294901,12.000001
1,capsule.raw.dynamic.switch,3,16777216,5,11.236793,12.000001
1,capsule.raw.dynamic.switch,3,16777216,6,11.121983,12.000001
1,capsule.raw.dynamic.switch,3,16777216,7,11.106010,12.000001
1,capsule.raw.dynamic.switch,3,16777216,8,11.098919,12.000001
1,capsule.raw.dynamic.switch,3,16777216,9,11.149041,12.000001
1,journal.raw.dynamic.switch,3,16777216,1,6.500372,10.000001
1,journal.raw.dynamic.switch,3,16777216,2,6.468241,10.000001
1,journal.raw.dynamic.switch,3,16777216,3,6.467104,10.000001
1,journal.raw.dynamic.switch,3,16777216,4,6.464305,10.000001
1,journal.raw.dynamic.switch,3,16777216,5,6.476995,10.000001
1,journal.raw.dynamic.switch,3,16777216,6,6.470927,10.000001
1,journal.raw.dynamic.switch,3,16777216,7,6.472590,10.000001
1,journal.raw.dynamic.switch,3,16777216,8,6.478075,10.000001
1,journal.raw.dynamic.switch,3,16777216,9,6.472220,10.000001
1,eta_reference.dynamic_scope_cleanup,3,65536,1,7777.940482,6429.001160
1,eta_reference.dynamic_scope_cleanup,3,65536,2,7690.734492,6429.001160
1,eta_reference.dynamic_scope_cleanup,3,65536,3,7740.982255,6429.001160
1,eta_reference.dynamic_scope_cleanup,3,65536,4,7706.345059,6429.001160
1,eta_reference.dynamic_scope_cleanup,3,65536,5,7741.287845,6429.001160
1,eta_reference.dynamic_scope_cleanup,3,65536,6,7756.258128,6429.001160
1,eta_reference.dynamic_scope_cleanup,3,65536,7,7844.893844,6429.001160
1,eta_reference.dynamic_scope_cleanup,3,65536,8,7683.243894,6429.001160
1,eta_reference.dynamic_scope_cleanup,3,65536,9,7815.142453,6429.001160
1,incremental.raw.keyed.data.10000,10000,2097152,1,269.175530,180.000005
1,incremental.raw.keyed.data.10000,10000,2097152,2,267.489327,180.000005
1,incremental.raw.keyed.data.10000,10000,2097152,3,268.143140,180.000005
1,incremental.raw.keyed.data.10000,10000,2097152,4,267.155656,180.000005
1,incremental.raw.keyed.data.10000,10000,2097152,5,257.598913,180.000005
1,incremental.raw.keyed.data.10000,10000,2097152,6,262.075901,180.000005
1,incremental.raw.keyed.data.10000,10000,2097152,7,269.988050,180.000005
1,incremental.raw.keyed.data.10000,10000,2097152,8,269.976567,180.000005
1,incremental.raw.keyed.data.10000,10000,2097152,9,275.854063,180.000005
1,capsule.raw.keyed.data.10000,10000,8388608,1,106.898540,160.000001
1,capsule.raw.keyed.data.10000,10000,8388608,2,106.415740,160.000001
1,capsule.raw.keyed.data.10000,10000,8388608,3,106.478211,160.000001
1,capsule.raw.keyed.data.10000,10000,8388608,4,105.800865,160.000001
1,capsule.raw.keyed.data.10000,10000,8388608,5,106.453882,160.000001
1,capsule.raw.keyed.data.10000,10000,8388608,6,106.476080,160.000001
1,capsule.raw.keyed.data.10000,10000,8388608,7,105.872033,160.000001
1,capsule.raw.keyed.data.10000,10000,8388608,8,105.768919,160.000001
1,capsule.raw.keyed.data.10000,10000,8388608,9,105.397561,160.000001
1,incremental.raw.keyed.data.100000,100000,2097152,1,336.145831,228.000005
1,incremental.raw.keyed.data.100000,100000,2097152,2,335.898335,228.000005
1,incremental.raw.keyed.data.100000,100000,2097152,3,336.600237,228.000005
1,incremental.raw.keyed.data.100000,100000,2097152,4,309.466827,228.000005
1,incremental.raw.keyed.data.100000,100000,2097152,5,318.685920,228.000005
1,incremental.raw.keyed.data.100000,100000,2097152,6,321.309585,228.000005
1,incremental.raw.keyed.data.100000,100000,2097152,7,307.856112,228.000005
1,incremental.raw.keyed.data.100000,100000,2097152,8,314.850240,228.000005
1,incremental.raw.keyed.data.100000,100000,2097152,9,326.153781,228.000005
1,capsule.raw.keyed.data.100000,100000,4194304,1,127.524856,208.000002
1,capsule.raw.keyed.data.100000,100000,4194304,2,127.315730,208.000002
1,capsule.raw.keyed.data.100000,100000,4194304,3,129.575710,208.000002
1,capsule.raw.keyed.data.100000,100000,4194304,4,129.888974,208.000002
1,capsule.raw.keyed.data.100000,100000,4194304,5,129.981515,208.000002
1,capsule.raw.keyed.data.100000,100000,4194304,6,127.222336,208.000002
1,capsule.raw.keyed.data.100000,100000,4194304,7,127.044700,208.000002
1,capsule.raw.keyed.data.100000,100000,4194304,8,127.132466,208.000002
1,capsule.raw.keyed.data.100000,100000,4194304,9,132.219327,208.000002
1,incremental.raw.keyed.membership.10000,10000,2097152,1,421.176878,343.500005
1,incremental.raw.keyed.membership.10000,10000,2097152,2,428.515932,343.500005
1,incremental.raw.keyed.membership.10000,10000,2097152,3,419.429398,343.500005
1,incremental.raw.keyed.membership.10000,10000,2097152,4,428.737167,343.500005
