pair,name,graph_size,operations,wall_ns,allocated_words
1,incremental.raw.dynamic.switch,3,4194304,122.359722,43.000002
1,capsule.raw.dynamic.switch,3,16777216,11.137544,12.000001
1,journal.raw.dynamic.switch,3,16777216,6.472220,10.000001
1,eta_reference.dynamic_scope_cleanup,3,65536,7741.287845,6429.001160
1,incremental.raw.keyed.data.10000,10000,2097152,268.143140,180.000005
1,capsule.raw.keyed.data.10000,10000,8388608,106.415740,160.000001
1,incremental.raw.keyed.data.100000,100000,2097152,321.309585,228.000005
1,capsule.raw.keyed.data.100000,100000,4194304,127.524856,208.000002
1,incremental.raw.keyed.membership.10000,10000,2097152,428.737167,343.500005
1,capsule.raw.keyed.membership.10000,10000,4194304,156.038027,269.000002
1,incremental.raw.keyed.membership.100000,100000,1048576,533.794491,433.500010
1,capsule.raw.keyed.membership.100000,100000,4194304,180.715801,323.000002
1,incremental.raw.keyed.child.10000,10000,8388608,93.589534,78.000001
1,capsule.raw.keyed.child.10000,10000,8388608,67.587621,82.000001
1,incremental.raw.keyed.child.100000,100000,8388608,106.561430,102.000001
1,capsule.raw.keyed.child.100000,100000,8388608,82.230201,106.000001
2,incremental.raw.dynamic.switch,3,4194304,120.951654,43.000002
2,capsule.raw.dynamic.switch,3,16777216,11.083898,12.000001
2,journal.raw.dynamic.switch,3,16777216,6.462272,10.000001
2,eta_reference.dynamic_scope_cleanup,3,65536,7641.236152,6429.001160
2,incremental.raw.keyed.data.10000,10000,2097152,259.537273,180.000005
2,capsule.raw.keyed.data.10000,10000,8388608,104.226842,160.000001
2,incremental.raw.keyed.data.100000,100000,2097152,336.243602,228.000005
2,capsule.raw.keyed.data.100000,100000,4194304,126.695682,208.000002
2,incremental.raw.keyed.membership.10000,10000,2097152,427.762529,343.500005
2,capsule.raw.keyed.membership.10000,10000,4194304,153.988367,269.000002
2,incremental.raw.keyed.membership.100000,100000,1048576,508.956873,433.500010
2,capsule.raw.keyed.membership.100000,100000,4194304,185.362069,323.000002
2,incremental.raw.keyed.child.10000,10000,8388608,91.758267,78.000001
2,capsule.raw.keyed.child.10000,10000,8388608,66.166166,82.000001
2,incremental.raw.keyed.child.100000,100000,8388608,106.727725,102.000001
2,capsule.raw.keyed.child.100000,100000,8388608,81.895564,106.000001
3,incremental.raw.dynamic.switch,3,4194304,121.160724,43.000002
3,capsule.raw.dynamic.switch,3,16777216,11.084566,12.000001
3,journal.raw.dynamic.switch,3,16777216,6.462628,10.000001
3,eta_reference.dynamic_scope_cleanup,3,65536,7631.453627,6429.001160
3,incremental.raw.keyed.data.10000,10000,2097152,269.378688,180.000005
3,capsule.raw.keyed.data.10000,10000,8388608,100.870011,160.000001
3,incremental.raw.keyed.data.100000,100000,2097152,311.715098,228.000005
3,capsule.raw.keyed.data.100000,100000,4194304,126.391171,208.000002
3,incremental.raw.keyed.membership.10000,10000,2097152,416.094394,343.500005
3,capsule.raw.keyed.membership.10000,10000,4194304,150.026096,269.000002
3,incremental.raw.keyed.membership.100000,100000,1048576,505.456910,433.500010
3,capsule.raw.keyed.membership.100000,100000,4194304,180.291693,323.000002
3,incremental.raw.keyed.child.10000,10000,8388608,90.588117,78.000001
3,capsule.raw.keyed.child.10000,10000,8388608,65.616376,82.000001
3,incremental.raw.keyed.child.100000,100000,8388608,107.308864,102.000001
3,capsule.raw.keyed.child.100000,100000,8388608,82.738893,106.000001
