side,name,pair,operations,sample,wall_ns,allocated_words
candidate,observer_success,1,16777216,1,23.936153,58.000001
candidate,observer_success,1,16777216,2,23.938952,58.000001
candidate,observer_success,1,16777216,3,23.928408,58.000001
candidate,observer_success,1,16777216,4,23.912008,58.000001
candidate,observer_success,1,16777216,5,23.907418,58.000001
candidate,observer_success,1,16777216,6,23.958634,58.000001
candidate,observer_success,1,16777216,7,23.934604,58.000001
candidate,observer_success,1,16777216,8,23.923036,58.000001
candidate,observer_success,1,16777216,9,23.942832,58.000001
candidate,observer_failure_retry,1,16777216,1,52.630185,105.000001
candidate,observer_failure_retry,1,16777216,2,52.423900,105.000001
candidate,observer_failure_retry,1,16777216,3,52.394327,105.000001
candidate,observer_failure_retry,1,16777216,4,52.485703,105.000001
candidate,observer_failure_retry,1,16777216,5,52.569618,105.000001
candidate,observer_failure_retry,1,16777216,6,52.579466,105.000001
candidate,observer_failure_retry,1,16777216,7,52.686815,105.000001
candidate,observer_failure_retry,1,16777216,8,52.592156,105.000001
candidate,observer_failure_retry,1,16777216,9,52.644850,105.000001
candidate,observer_disposal,1,16777216,1,25.356883,58.000001
candidate,observer_disposal,1,16777216,2,25.339659,58.000001
candidate,observer_disposal,1,16777216,3,25.485932,58.000001
candidate,observer_disposal,1,16777216,4,25.383230,58.000001
candidate,observer_disposal,1,16777216,5,25.449523,58.000001
candidate,observer_disposal,1,16777216,6,25.387109,58.000001
candidate,observer_disposal,1,16777216,7,25.418885,58.000001
candidate,observer_disposal,1,16777216,8,25.442660,58.000001
candidate,observer_disposal,1,16777216,9,25.519256,58.000001
candidate,stream_offer,1,16777216,1,38.912901,79.000001
candidate,stream_offer,1,16777216,2,39.013216,79.000001
candidate,stream_offer,1,16777216,3,38.937088,79.000001
candidate,stream_offer,1,16777216,4,38.905739,79.000001
candidate,stream_offer,1,16777216,5,39.014040,79.000001
candidate,stream_offer,1,16777216,6,39.042305,79.000001
candidate,stream_offer,1,16777216,7,38.912233,79.000001
candidate,stream_offer,1,16777216,8,39.054385,79.000001
candidate,stream_offer,1,16777216,9,38.956529,79.000001
candidate,timer_cycle,1,16777216,1,44.043716,83.000001
candidate,timer_cycle,1,16777216,2,43.948532,83.000001
candidate,timer_cycle,1,16777216,3,43.895668,83.000001
candidate,timer_cycle,1,16777216,4,43.905501,83.000001
candidate,timer_cycle,1,16777216,5,43.944240,83.000001
candidate,timer_cycle,1,16777216,6,43.917893,83.000001
candidate,timer_cycle,1,16777216,7,43.916160,83.000001
candidate,timer_cycle,1,16777216,8,44.020240,83.000001
candidate,timer_cycle,1,16777216,9,44.059036,83.000001
reference,observer_failure_retry,1,65536,1,12389.798940,10504.000153
reference,observer_failure_retry,1,65536,2,12465.239706,10504.000153
reference,observer_failure_retry,1,65536,3,12452.146620,10504.000153
reference,observer_failure_retry,1,65536,4,12435.608369,10504.000153
reference,observer_failure_retry,1,65536,5,12454.634998,10504.000153
reference,observer_failure_retry,1,65536,6,12438.355043,10504.000153
reference,observer_failure_retry,1,65536,7,12460.677681,10504.000153
reference,observer_failure_retry,1,65536,8,12346.343283,10504.000153
reference,observer_failure_retry,1,65536,9,12117.383449,10504.000153
reference,observer_disposal,1,65536,1,8061.797416,6188.000153
reference,observer_disposal,1,65536,2,8114.424418,6188.000153
reference,observer_disposal,1,65536,3,8072.034689,6188.000153
reference,observer_disposal,1,65536,4,8211.318345,6188.000153
reference,observer_disposal,1,65536,5,8231.399988,6188.000153
reference,observer_disposal,1,65536,6,8143.892046,6188.000153
reference,observer_disposal,1,65536,7,8167.131455,6188.000153
reference,observer_disposal,1,65536,8,8228.467777,6188.000153
reference,observer_disposal,1,65536,9,8225.968486,6188.000153
reference,timer_cycle,1,32768,1,27736.146876,21185.000305
reference,timer_cycle,1,32768,2,27800.932003,21185.000305
reference,timer_cycle,1,32768,3,27843.103453,21185.000305
reference,timer_cycle,1,32768,4,28074.311558,21185.000305
reference,timer_cycle,1,32768,5,27845.730074,21185.000305
reference,timer_cycle,1,32768,6,27865.593438,21185.000305
reference,timer_cycle,1,32768,7,27966.489142,21185.000305
reference,timer_cycle,1,32768,8,28126.552934,21185.000305
reference,timer_cycle,1,32768,9,27929.563657,21185.000305
candidate,observer_success,2,16777216,1,23.938668,58.000001
candidate,observer_success,2,16777216,2,23.917252,58.000001
candidate,observer_success,2,16777216,3,23.875003,58.000001
candidate,observer_success,2,16777216,4,23.865098,58.000001
candidate,observer_success,2,16777216,5,23.871664,58.000001
candidate,observer_success,2,16777216,6,23.899972,58.000001
candidate,observer_success,2,16777216,7,23.920236,58.000001
candidate,observer_success,2,16777216,8,23.883288,58.000001
candidate,observer_success,2,16777216,9,23.882208,58.000001
candidate,observer_failure_retry,2,16777216,1,51.555389,105.000001
candidate,observer_failure_retry,2,16777216,2,51.565650,105.000001
candidate,observer_failure_retry,2,16777216,3,51.583882,105.000001
candidate,observer_failure_retry,2,16777216,4,51.731703,105.000001
candidate,observer_failure_retry,2,16777216,5,50.761869,105.000001
candidate,observer_failure_retry,2,16777216,6,52.072338,105.000001
candidate,observer_failure_retry,2,16777216,7,52.033357,105.000001
candidate,observer_failure_retry,2,16777216,8,51.980606,105.000001
candidate,observer_failure_retry,2,16777216,9,51.997901,105.000001
candidate,observer_disposal,2,16777216,1,25.496121,58.000001
candidate,observer_disposal,2,16777216,2,25.468225,58.000001
candidate,observer_disposal,2,16777216,3,25.471209,58.000001
candidate,observer_disposal,2,16777216,4,25.451428,58.000001
candidate,observer_disposal,2,16777216,5,25.467287,58.000001
candidate,observer_disposal,2,16777216,6,25.459940,58.000001
candidate,observer_disposal,2,16777216,7,25.466207,58.000001
candidate,observer_disposal,2,16777216,8,25.453033,58.000001
candidate,observer_disposal,2,16777216,9,25.449580,58.000001
candidate,stream_offer,2,16777216,1,38.885105,79.000001
candidate,stream_offer,2,16777216,2,38.969873,79.000001
candidate,stream_offer,2,16777216,3,38.928690,79.000001
candidate,stream_offer,2,16777216,4,38.904020,79.000001
candidate,stream_offer,2,16777216,5,38.950688,79.000001
candidate,stream_offer,2,16777216,6,39.016371,79.000001
candidate,stream_offer,2,16777216,7,38.896744,79.000001
candidate,stream_offer,2,16777216,8,38.963435,79.000001
candidate,stream_offer,2,16777216,9,38.894825,79.000001
candidate,timer_cycle,2,16777216,1,45.789179,83.000001
candidate,timer_cycle,2,16777216,2,45.844743,83.000001
candidate,timer_cycle,2,16777216,3,45.852602,83.000001
candidate,timer_cycle,2,16777216,4,45.826326,83.000001
candidate,timer_cycle,2,16777216,5,45.846164,83.000001
candidate,timer_cycle,2,16777216,6,45.814161,83.000001
candidate,timer_cycle,2,16777216,7,45.807425,83.000001
candidate,timer_cycle,2,16777216,8,45.820954,83.000001
candidate,timer_cycle,2,16777216,9,45.841460,83.000001
reference,observer_failure_retry,2,65536,1,12340.409739,10504.000153
reference,observer_failure_retry,2,65536,2,12199.645425,10504.000153
reference,observer_failure_retry,2,65536,3,12195.268937,10504.000153
reference,observer_failure_retry,2,65536,4,12270.520529,10504.000153
reference,observer_failure_retry,2,65536,5,12252.272427,10504.000153
reference,observer_failure_retry,2,65536,6,12223.754311,10504.000153
reference,observer_failure_retry,2,65536,7,12273.190805,10504.000153
reference,observer_failure_retry,2,65536,8,12246.840924,10504.000153
reference,observer_failure_retry,2,65536,9,12252.563465,10504.000153
reference,observer_disposal,2,65536,1,8075.468941,6188.000153
reference,observer_disposal,2,65536,2,8150.924259,6188.000153
reference,observer_disposal,2,65536,3,8089.798939,6188.000153
reference,observer_disposal,2,65536,4,8177.401469,6188.000153
reference,observer_disposal,2,65536,5,8183.975297,6188.000153
reference,observer_disposal,2,65536,6,8069.884643,6188.000153
reference,observer_disposal,2,65536,7,8121.416613,6188.000153
reference,observer_disposal,2,65536,8,8184.644685,6188.000153
reference,observer_disposal,2,65536,9,8173.676179,6188.000153
reference,timer_cycle,2,32768,1,27812.806366,21185.000305
reference,timer_cycle,2,32768,2,27857.175155,21185.000305
reference,timer_cycle,2,32768,3,27861.911803,21185.000305
reference,timer_cycle,2,32768,4,27884.183510,21185.000305
reference,timer_cycle,2,32768,5,28071.197448,21185.000305
reference,timer_cycle,2,32768,6,27915.280953,21185.000305
reference,timer_cycle,2,32768,7,27691.618016,21185.000305
reference,timer_cycle,2,32768,8,27668.975235,21185.000305
reference,timer_cycle,2,32768,9,27790.098102,21185.000305
candidate,observer_success,3,16777216,1,24.004464,58.000001
candidate,observer_success,3,16777216,2,24.017694,58.000001
candidate,observer_success,3,16777216,3,24.004038,58.000001
candidate,observer_success,3,16777216,4,24.017041,58.000001
candidate,observer_success,3,16777216,5,24.014838,58.000001
candidate,observer_success,3,16777216,6,24.021503,58.000001
candidate,observer_success,3,16777216,7,24.019542,58.000001
candidate,observer_success,3,16777216,8,24.010419,58.000001
candidate,observer_success,3,16777216,9,24.015719,58.000001
candidate,observer_failure_retry,3,16777216,1,51.770627,105.000001
candidate,observer_failure_retry,3,16777216,2,51.849355,105.000001
candidate,observer_failure_retry,3,16777216,3,52.846545,105.000001
candidate,observer_failure_retry,3,16777216,4,53.480861,105.000001
candidate,observer_failure_retry,3,16777216,5,53.354086,105.000001
candidate,observer_failure_retry,3,16777216,6,53.305811,105.000001
candidate,observer_failure_retry,3,16777216,7,53.309677,105.000001
candidate,observer_failure_retry,3,16777216,8,53.292979,105.000001
candidate,observer_failure_retry,3,16777216,9,53.312064,105.000001
candidate,observer_disposal,3,16777216,1,25.480688,58.000001
candidate,observer_disposal,3,16777216,2,25.469120,58.000001
candidate,observer_disposal,3,16777216,3,25.488077,58.000001
candidate,observer_disposal,3,16777216,4,25.469845,58.000001
candidate,observer_disposal,3,16777216,5,25.464473,58.000001
candidate,observer_disposal,3,16777216,6,25.455890,58.000001
candidate,observer_disposal,3,16777216,7,25.558478,58.000001
candidate,observer_disposal,3,16777216,8,25.623621,58.000001
candidate,observer_disposal,3,16777216,9,25.583276,58.000001
candidate,stream_offer,3,16777216,1,38.812587,79.000001
candidate,stream_offer,3,16777216,2,38.930594,79.000001
candidate,stream_offer,3,16777216,3,38.885233,79.000001
candidate,stream_offer,3,16777216,4,38.908610,79.000001
candidate,stream_offer,3,16777216,5,39.020478,79.000001
candidate,stream_offer,3,16777216,6,38.999374,79.000001
candidate,stream_offer,3,16777216,7,38.845840,79.000001
candidate,stream_offer,3,16777216,8,38.908539,79.000001
candidate,stream_offer,3,16777216,9,38.841492,79.000001
candidate,timer_cycle,3,16777216,1,44.492012,83.000001
candidate,timer_cycle,3,16777216,2,44.475797,83.000001
candidate,timer_cycle,3,16777216,3,44.384251,83.000001
candidate,timer_cycle,3,16777216,4,44.690609,83.000001
candidate,timer_cycle,3,16777216,5,44.379476,83.000001
candidate,timer_cycle,3,16777216,6,44.353783,83.000001
candidate,timer_cycle,3,16777216,7,44.424411,83.000001
candidate,timer_cycle,3,16777216,8,44.365990,83.000001
candidate,timer_cycle,3,16777216,9,44.466375,83.000001
reference,observer_failure_retry,3,65536,1,12380.722183,10504.000153
reference,observer_failure_retry,3,65536,2,12402.833818,10504.000153
reference,observer_failure_retry,3,65536,3,12319.731468,10504.000153
reference,observer_failure_retry,3,65536,4,12195.843738,10504.000153
reference,observer_failure_retry,3,65536,5,12190.048437,10504.000153
reference,observer_failure_retry,3,65536,6,12264.223187,10504.000153
reference,observer_failure_retry,3,65536,7,12240.725482,10504.000153
reference,observer_failure_retry,3,65536,8,12298.722140,10504.000153
reference,observer_failure_retry,3,65536,9,12346.663425,10504.000153
reference,observer_disposal,3,65536,1,8173.414244,6188.000153
reference,observer_disposal,3,65536,2,8279.326721,6188.000153
reference,observer_disposal,3,65536,3,8200.833690,6188.000153
reference,observer_disposal,3,65536,4,8255.723515,6188.000153
reference,observer_disposal,3,65536,5,8250.062820,6188.000153
reference,observer_disposal,3,65536,6,8190.050721,6188.000153
reference,observer_disposal,3,65536,7,8250.837709,6188.000153
reference,observer_disposal,3,65536,8,8292.754501,6188.000153
reference,observer_disposal,3,65536,9,8281.767805,6188.000153
reference,timer_cycle,3,32768,1,27779.693482,21185.000305
reference,timer_cycle,3,32768,2,27771.850000,21185.000305
reference,timer_cycle,3,32768,3,27982.940082,21185.000305
reference,timer_cycle,3,32768,4,27852.081985,21185.000305
reference,timer_cycle,3,32768,5,27847.199817,21185.000305
reference,timer_cycle,3,32768,6,27649.897675,21185.000305
reference,timer_cycle,3,32768,7,27736.205084,21185.000305
reference,timer_cycle,3,32768,8,27731.657610,21185.000305
reference,timer_cycle,3,32768,9,27720.823709,21185.000305
