side,name,pair,operations,median_wall_ns,median_allocated_words
candidate,observer_disposal,1,16777216,25.418885,58.000001
candidate,observer_disposal,2,16777216,25.466207,58.000001
candidate,observer_disposal,3,16777216,25.480688,58.000001
candidate,observer_failure_retry,1,16777216,52.579466,105.000001
candidate,observer_failure_retry,2,16777216,51.731703,105.000001
candidate,observer_failure_retry,3,16777216,53.305811,105.000001
candidate,observer_success,1,16777216,23.934604,58.000001
candidate,observer_success,2,16777216,23.883288,58.000001
candidate,observer_success,3,16777216,24.015719,58.000001
candidate,stream_offer,1,16777216,38.956529,79.000001
candidate,stream_offer,2,16777216,38.928690,79.000001
candidate,stream_offer,3,16777216,38.908539,79.000001
candidate,timer_cycle,1,16777216,43.944240,83.000001
candidate,timer_cycle,2,16777216,45.826326,83.000001
candidate,timer_cycle,3,16777216,44.424411,83.000001
reference,observer_disposal,1,65536,8167.131455,6188.000153
reference,observer_disposal,2,65536,8150.924259,6188.000153
reference,observer_disposal,3,65536,8250.837709,6188.000153
reference,observer_failure_retry,1,65536,12438.355043,10504.000153
reference,observer_failure_retry,2,65536,12252.272427,10504.000153
reference,observer_failure_retry,3,65536,12298.722140,10504.000153
reference,timer_cycle,1,32768,27865.593438,21185.000305
reference,timer_cycle,2,32768,27857.175155,21185.000305
reference,timer_cycle,3,32768,27771.850000,21185.000305
