side,name,pair,operations,sample,wall_ns,allocated_words
candidate,observer_failure_retry,1,131072,1,4496.772817,2752.000076
candidate,observer_failure_retry,1,131072,2,3765.402653,2752.000076
candidate,observer_failure_retry,1,131072,3,3762.024789,2752.000076
candidate,observer_failure_retry,1,131072,4,3788.467438,2752.000076
candidate,observer_failure_retry,1,131072,5,3821.793143,2752.000076
candidate,observer_failure_retry,1,131072,6,3839.020792,2752.000076
candidate,observer_failure_retry,1,131072,7,3833.076335,2752.000076
candidate,observer_failure_retry,1,131072,8,3821.716746,2752.000076
candidate,observer_failure_retry,1,131072,9,3828.063200,2752.000076
reference,observer_failure_retry,1,65536,1,12291.107851,10504.000153
reference,observer_failure_retry,1,65536,2,12751.130271,10504.000153
reference,observer_failure_retry,1,65536,3,12228.440028,10504.000153
reference,observer_failure_retry,1,65536,4,12290.554878,10504.000153
reference,observer_failure_retry,1,65536,5,13196.091459,10504.000153
reference,observer_failure_retry,1,65536,6,12639.848137,10504.000153
reference,observer_failure_retry,1,65536,7,12367.447198,10504.000153
reference,observer_failure_retry,1,65536,8,12270.262232,10504.000153
reference,observer_failure_retry,1,65536,9,12179.945770,10504.000153
candidate,observer_disposal,1,524288,1,1296.071787,903.000019
candidate,observer_disposal,1,524288,2,1317.495389,903.000019
candidate,observer_disposal,1,524288,3,1316.102953,903.000019
candidate,observer_disposal,1,524288,4,1386.852091,903.000019
candidate,observer_disposal,1,524288,5,1399.814664,903.000019
candidate,observer_disposal,1,524288,6,1456.869086,903.000019
candidate,observer_disposal,1,524288,7,1288.994099,903.000019
candidate,observer_disposal,1,524288,8,1288.840849,903.000019
candidate,observer_disposal,1,524288,9,1278.606305,903.000019
reference,observer_disposal,1,65536,1,8058.425010,6188.000153
reference,observer_disposal,1,65536,2,8271.654224,6188.000153
reference,observer_disposal,1,65536,3,8157.177945,6188.000153
reference,observer_disposal,1,65536,4,8128.950867,6188.000153
reference,observer_disposal,1,65536,5,8162.474842,6188.000153
reference,observer_disposal,1,65536,6,8147.566405,6188.000153
reference,observer_disposal,1,65536,7,8630.355296,6188.000153
reference,observer_disposal,1,65536,8,8216.080460,6188.000153
reference,observer_disposal,1,65536,9,8192.884707,6188.000153
candidate,timer_cycle,1,65536,1,10056.366591,7005.000153
candidate,timer_cycle,1,65536,2,10058.349289,7005.000153
candidate,timer_cycle,1,65536,3,10060.499335,7005.000153
candidate,timer_cycle,1,65536,4,10055.879102,7005.000153
candidate,timer_cycle,1,65536,5,9936.142305,7005.000153
candidate,timer_cycle,1,65536,6,10026.644304,7005.000153
candidate,timer_cycle,1,65536,7,10029.601981,7005.000153
candidate,timer_cycle,1,65536,8,9952.709661,7005.000153
candidate,timer_cycle,1,65536,9,9954.619600,7005.000153
reference,timer_cycle,1,32768,1,27281.828807,21185.000305
reference,timer_cycle,1,32768,2,27297.450288,21185.000305
reference,timer_cycle,1,32768,3,27348.294680,21185.000305
reference,timer_cycle,1,32768,4,27488.677006,21185.000305
reference,timer_cycle,1,32768,5,30479.983252,21185.000305
reference,timer_cycle,1,32768,6,30919.341953,21185.000305
reference,timer_cycle,1,32768,7,27326.597774,21185.000305
reference,timer_cycle,1,32768,8,27431.669878,21185.000305
reference,timer_cycle,1,32768,9,28508.082323,21185.000305
candidate,observer_failure_retry,2,262144,1,3762.298547,2752.000038
candidate,observer_failure_retry,2,262144,2,3784.385626,2752.000038
candidate,observer_failure_retry,2,262144,3,3788.368304,2752.000038
candidate,observer_failure_retry,2,262144,4,3769.309842,2752.000038
candidate,observer_failure_retry,2,262144,5,3792.174539,2752.000038
candidate,observer_failure_retry,2,262144,6,3773.365279,2752.000038
candidate,observer_failure_retry,2,262144,7,3787.608875,2752.000038
candidate,observer_failure_retry,2,262144,8,3804.244443,2752.000038
candidate,observer_failure_retry,2,262144,9,3797.500540,2752.000038
reference,observer_failure_retry,2,65536,1,13025.099179,10504.000153
reference,observer_failure_retry,2,65536,2,13087.097614,10504.000153
reference,observer_failure_retry,2,65536,3,13558.776118,10504.000153
reference,observer_failure_retry,2,65536,4,12756.438082,10504.000153
reference,observer_failure_retry,2,65536,5,12264.055840,10504.000153
reference,observer_failure_retry,2,65536,6,12260.388758,10504.000153
reference,observer_failure_retry,2,65536,7,12300.552044,10504.000153
reference,observer_failure_retry,2,65536,8,12272.688764,10504.000153
reference,observer_failure_retry,2,65536,9,12185.897504,10504.000153
candidate,observer_disposal,2,524288,1,1292.634806,903.000019
candidate,observer_disposal,2,524288,2,1294.742560,903.000019
candidate,observer_disposal,2,524288,3,1337.512913,903.000019
candidate,observer_disposal,2,524288,4,1280.700417,903.000019
candidate,observer_disposal,2,524288,5,1281.665845,903.000019
candidate,observer_disposal,2,524288,6,1305.294063,903.000019
candidate,observer_disposal,2,524288,7,1288.255589,903.000019
candidate,observer_disposal,2,524288,8,1280.980996,903.000019
