side,name,pair,operations,median_wall_ns,median_allocated_words
candidate,observer_disposal,1,524288,1316.102953,903.000019
candidate,observer_disposal,2,524288,1288.255589,903.000019
candidate,observer_disposal,3,524288,1293.024070,903.000019
candidate,observer_failure_retry,1,131072,3821.793143,2752.000076
candidate,observer_failure_retry,2,262144,3787.608875,2752.000038
candidate,observer_failure_retry,3,262144,3763.649147,2752.000038
candidate,timer_cycle,1,65536,10029.601981,7005.000153
candidate,timer_cycle,2,65536,9979.463357,7005.000153
candidate,timer_cycle,3,65536,10059.375199,7005.000153
reference,observer_disposal,1,65536,8162.474842,6188.000153
reference,observer_disposal,2,65536,8233.626431,6188.000153
reference,observer_disposal,3,65536,8247.785445,6188.000153
reference,observer_failure_retry,1,65536,12291.107851,10504.000153
reference,observer_failure_retry,2,65536,12300.552044,10504.000153
reference,observer_failure_retry,3,65536,12230.451830,10504.000153
reference,timer_cycle,1,32768,27431.669878,21185.000305
reference,timer_cycle,2,32768,27395.108191,21185.000305
reference,timer_cycle,3,32768,27507.478080,21185.000305
