name,pair,operations,sample,wall_ns,allocated_words
eta_signal.effect_seam.raw.depth_1,1,16777216,1,4.366882,0.000001
eta_signal.effect_seam.raw.depth_1,1,16777216,2,4.368971,0.000001
eta_signal.effect_seam.raw.depth_1,1,16777216,3,4.367706,0.000001
eta_signal.effect_seam.raw.depth_1,1,16777216,4,4.366157,0.000001
eta_signal.effect_seam.raw.depth_1,1,16777216,5,4.366044,0.000001
eta_signal.effect_seam.raw.depth_1,1,16777216,6,4.368900,0.000001
eta_signal.effect_seam.raw.depth_1,1,16777216,7,4.373845,0.000001
eta_signal.effect_seam.raw.depth_1,1,16777216,8,4.374144,0.000001
eta_signal.effect_seam.raw.depth_1,1,16777216,9,4.370861,0.000001
eta_signal.effect_seam.effect.depth_1,1,16777216,1,7.657817,10.000002
eta_signal.effect_seam.effect.depth_1,1,16777216,2,7.660091,10.000002
eta_signal.effect_seam.effect.depth_1,1,16777216,3,7.735309,10.000002
eta_signal.effect_seam.effect.depth_1,1,16777216,4,7.747360,10.000002
eta_signal.effect_seam.effect.depth_1,1,16777216,5,7.686978,10.000002
eta_signal.effect_seam.effect.depth_1,1,16777216,6,7.704855,10.000002
eta_signal.effect_seam.effect.depth_1,1,16777216,7,7.700919,10.000002
eta_signal.effect_seam.effect.depth_1,1,16777216,8,7.676832,10.000002
eta_signal.effect_seam.effect.depth_1,1,16777216,9,7.741036,10.000002
eta_signal.effect_seam.driver_sync.depth_1,1,8388608,1,116.014121,106.000004
eta_signal.effect_seam.driver_sync.depth_1,1,8388608,2,115.946904,106.000004
eta_signal.effect_seam.driver_sync.depth_1,1,8388608,3,116.367801,106.000004
eta_signal.effect_seam.driver_sync.depth_1,1,8388608,4,116.195679,106.000004
eta_signal.effect_seam.driver_sync.depth_1,1,8388608,5,115.863060,106.000004
eta_signal.effect_seam.driver_sync.depth_1,1,8388608,6,116.227142,106.000004
eta_signal.effect_seam.driver_sync.depth_1,1,8388608,7,115.750566,106.000004
eta_signal.effect_seam.driver_sync.depth_1,1,8388608,8,115.998489,106.000004
eta_signal.effect_seam.driver_sync.depth_1,1,8388608,9,116.015315,106.000004
eta_signal.effect_seam.public_sync.depth_1,1,2097152,1,244.724674,204.000018
eta_signal.effect_seam.public_sync.depth_1,1,2097152,2,245.108595,204.000018
eta_signal.effect_seam.public_sync.depth_1,1,2097152,3,247.571961,204.000018
eta_signal.effect_seam.public_sync.depth_1,1,2097152,4,243.714339,204.000018
eta_signal.effect_seam.public_sync.depth_1,1,2097152,5,248.360152,204.000018
eta_signal.effect_seam.public_sync.depth_1,1,2097152,6,242.545525,204.000018
eta_signal.effect_seam.public_sync.depth_1,1,2097152,7,242.174224,204.000018
eta_signal.effect_seam.public_sync.depth_1,1,2097152,8,242.512215,204.000018
eta_signal.effect_seam.public_sync.depth_1,1,2097152,9,242.396823,204.000018
eta_signal.effect_seam.public_eio.depth_1,1,1048576,1,656.055590,487.000065
eta_signal.effect_seam.public_eio.depth_1,1,1048576,2,656.988050,487.000065
eta_signal.effect_seam.public_eio.depth_1,1,1048576,3,655.470785,487.000065
eta_signal.effect_seam.public_eio.depth_1,1,1048576,4,664.029130,487.000065
eta_signal.effect_seam.public_eio.depth_1,1,1048576,5,679.674031,487.000065
eta_signal.effect_seam.public_eio.depth_1,1,1048576,6,667.303993,487.000065
