name,pair,operations,median_wall_ns,median_allocated_words
eta_signal.effect_seam.raw.depth_1,1,16777216,4.368900,0.000001
eta_signal.effect_seam.effect.depth_1,1,16777216,7.700919,10.000002
eta_signal.effect_seam.driver_sync.depth_1,1,8388608,116.014121,106.000004
eta_signal.effect_seam.public_sync.depth_1,1,2097152,243.714339,204.000018
eta_signal.effect_seam.public_eio.depth_1,1,1048576,662.980256,487.000065
eta_signal.effect_seam.raw.depth_10,1,16777216,12.113404,0.000001
eta_signal.effect_seam.effect.depth_10,1,16777216,14.980557,10.000002
eta_signal.effect_seam.driver_sync.depth_10,1,4194304,125.470194,106.000009
eta_signal.effect_seam.public_sync.depth_10,1,2097152,286.054046,204.000018
eta_signal.effect_seam.public_eio.depth_10,1,1048576,673.790055,487.000065
eta_signal.effect_seam.raw.depth_100,1,8388608,100.345261,0.000001
eta_signal.effect_seam.effect.depth_100,1,8388608,103.176944,10.000004
eta_signal.effect_seam.driver_sync.depth_100,1,4194304,227.606790,106.000009
eta_signal.effect_seam.public_sync.depth_100,1,2097152,360.264380,204.000018
eta_signal.effect_seam.public_eio.depth_100,1,1048576,771.220130,487.000065
eta_signal.effect_seam.deep_claim_sync.depth_1,1,8388608,118.531943,106.000004
eta_signal.effect_seam.cursor_sync.depth_1,1,2097152,411.536689,346.000018
eta_signal.effect_seam.edge.candidate_cancelled_contender,1,262144,2237.041372,1509.000038
eta_signal.effect_seam.edge.reference_cancelled_contender,1,65536,8829.512808,6911.000153
eta_signal.effect_seam.raw.depth_1,2,16777216,4.349829,0.000001
eta_signal.effect_seam.effect.depth_1,2,16777216,8.039123,10.000002
eta_signal.effect_seam.driver_sync.depth_1,2,8388608,117.367989,106.000004
eta_signal.effect_seam.public_sync.depth_1,2,2097152,250.702897,204.000018
eta_signal.effect_seam.public_eio.depth_1,2,1048576,652.797553,487.000065
eta_signal.effect_seam.raw.depth_10,2,16777216,12.021189,0.000001
eta_signal.effect_seam.effect.depth_10,2,16777216,14.988473,10.000002
eta_signal.effect_seam.driver_sync.depth_10,2,4194304,132.001674,106.000009
eta_signal.effect_seam.public_sync.depth_10,2,2097152,262.439812,204.000018
eta_signal.effect_seam.public_eio.depth_10,2,1048576,673.664090,487.000065
eta_signal.effect_seam.raw.depth_100,2,8388608,99.481355,0.000001
eta_signal.effect_seam.effect.depth_100,2,8388608,102.786657,10.000004
eta_signal.effect_seam.driver_sync.depth_100,2,4194304,227.264593,106.000009
eta_signal.effect_seam.public_sync.depth_100,2,2097152,357.789531,204.000018
eta_signal.effect_seam.public_eio.depth_100,2,1048576,768.159907,487.000065
eta_signal.effect_seam.deep_claim_sync.depth_1,2,8388608,118.574633,106.000004
eta_signal.effect_seam.cursor_sync.depth_1,2,2097152,407.223752,346.000018
eta_signal.effect_seam.edge.candidate_cancelled_contender,2,262144,2174.507244,1509.000038
eta_signal.effect_seam.edge.reference_cancelled_contender,2,65536,8688.781236,6911.000153
eta_signal.effect_seam.raw.depth_1,3,16777216,4.342610,0.000001
eta_signal.effect_seam.effect.depth_1,3,16777216,7.949950,10.000002
eta_signal.effect_seam.driver_sync.depth_1,3,8388608,117.002145,106.000004
eta_signal.effect_seam.public_sync.depth_1,3,2097152,256.611429,204.000018
eta_signal.effect_seam.public_eio.depth_1,3,1048576,653.760026,487.000065
eta_signal.effect_seam.raw.depth_10,3,16777216,12.015278,0.000001
eta_signal.effect_seam.effect.depth_10,3,16777216,14.874871,10.000002
eta_signal.effect_seam.driver_sync.depth_10,3,4194304,126.452449,106.000009
eta_signal.effect_seam.public_sync.depth_10,3,2097152,257.786269,204.000018
eta_signal.effect_seam.public_eio.depth_10,3,1048576,674.961029,487.000065
eta_signal.effect_seam.raw.depth_100,3,8388608,99.013221,0.000001
eta_signal.effect_seam.effect.depth_100,3,8388608,102.781542,10.000004
eta_signal.effect_seam.driver_sync.depth_100,3,4194304,221.254140,106.000009
eta_signal.effect_seam.public_sync.depth_100,3,2097152,357.399472,204.000018
eta_signal.effect_seam.public_eio.depth_100,3,1048576,766.159019,487.000065
eta_signal.effect_seam.deep_claim_sync.depth_1,3,8388608,118.495706,106.000004
eta_signal.effect_seam.cursor_sync.depth_1,3,2097152,405.836545,346.000018
eta_signal.effect_seam.edge.candidate_cancelled_contender,3,262144,2178.710929,1509.000038
eta_signal.effect_seam.edge.reference_cancelled_contender,3,65536,8707.778761,6911.000153
