pair,name,operations,sample,wall_ns,allocated_words
1,eta_signal.raw.successful.depth_1.position_none,1048576,1,613.496695,797.000227
1,eta_signal.raw.successful.depth_1.position_none,1048576,2,624.070253,797.000227
1,eta_signal.raw.successful.depth_1.position_none,1048576,3,626.431529,797.000227
1,eta_signal.raw.successful.depth_1.position_none,1048576,4,625.052508,797.000227
1,eta_signal.raw.successful.depth_1.position_none,1048576,5,625.750545,797.000227
1,eta_signal.raw.successful.depth_1.position_none,1048576,6,625.218490,797.000227
1,eta_signal.raw.successful.depth_1.position_none,1048576,7,598.890438,797.000227
1,eta_signal.raw.successful.depth_1.position_none,1048576,8,611.064934,797.000227
1,eta_signal.raw.successful.depth_1.position_none,1048576,9,635.277729,797.000227
1,eta_signal.raw.failed_retry.depth_1.position_last,524288,1,1030.984549,1227.000454
1,eta_signal.raw.failed_retry.depth_1.position_last,524288,2,1034.591605,1227.000454
1,eta_signal.raw.failed_retry.depth_1.position_last,524288,3,1034.324669,1227.000454
1,eta_signal.raw.failed_retry.depth_1.position_last,524288,4,1032.527962,1227.000454
1,eta_signal.raw.failed_retry.depth_1.position_last,524288,5,1030.086423,1227.000454
1,eta_signal.raw.failed_retry.depth_1.position_last,524288,6,1028.533916,1227.000454
1,eta_signal.raw.failed_retry.depth_1.position_last,524288,7,992.547939,1227.000454
1,eta_signal.raw.failed_retry.depth_1.position_last,524288,8,993.194590,1227.000454
1,eta_signal.raw.failed_retry.depth_1.position_last,524288,9,996.829840,1227.000454
1,eta_signal.raw.successful.depth_10.position_none,524288,1,1475.280897,1409.000454
1,eta_signal.raw.successful.depth_10.position_none,524288,2,1480.333140,1409.000454
1,eta_signal.raw.successful.depth_10.position_none,524288,3,1469.625659,1409.000454
1,eta_signal.raw.successful.depth_10.position_none,524288,4,1461.296051,1409.000454
1,eta_signal.raw.successful.depth_10.position_none,524288,5,1477.844307,1409.000454
1,eta_signal.raw.successful.depth_10.position_none,524288,6,1482.301741,1409.000454
1,eta_signal.raw.successful.depth_10.position_none,524288,7,1480.175342,1409.000454
1,eta_signal.raw.successful.depth_10.position_none,524288,8,1494.527623,1409.000454
1,eta_signal.raw.successful.depth_10.position_none,524288,9,1439.987045,1409.000454
1,eta_signal.raw.failed_retry.depth_10.position_last,262144,1,2572.551239,2199.000908
1,eta_signal.raw.failed_retry.depth_10.position_last,262144,2,2555.915671,2199.000908
1,eta_signal.raw.failed_retry.depth_10.position_last,262144,3,2588.275493,2199.000908
1,eta_signal.raw.failed_retry.depth_10.position_last,262144,4,2575.290637,2199.000908
1,eta_signal.raw.failed_retry.depth_10.position_last,262144,5,2574.219252,2199.000908
1,eta_signal.raw.failed_retry.depth_10.position_last,262144,6,2575.969120,2199.000908
1,eta_signal.raw.failed_retry.depth_10.position_last,262144,7,2555.409083,2199.000908
1,eta_signal.raw.failed_retry.depth_10.position_last,262144,8,2546.184987,2199.000908
1,eta_signal.raw.failed_retry.depth_10.position_last,262144,9,2534.251507,2199.000908
1,eta_signal.raw.failed_retry.depth_10.position_first,262144,1,1949.208126,1839.000908
1,eta_signal.raw.failed_retry.depth_10.position_first,262144,2,1949.374564,1839.000908
1,eta_signal.raw.failed_retry.depth_10.position_first,262144,3,1949.409125,1839.000908
1,eta_signal.raw.failed_retry.depth_10.position_first,262144,4,1945.293661,1839.000908
1,eta_signal.raw.failed_retry.depth_10.position_first,262144,5,1950.198566,1839.000908
1,eta_signal.raw.failed_retry.depth_10.position_first,262144,6,1950.820661,1839.000908
1,eta_signal.raw.failed_retry.depth_10.position_first,262144,7,1953.071660,1839.000908
1,eta_signal.raw.failed_retry.depth_10.position_first,262144,8,1954.479558,1839.000908
