pair,name,operations,median_wall_ns,median_allocated_words
1,eta_signal.public_sync.failed_retry.depth_1.position_last,262144,2536.720785,3055.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_first,262144,3434.192877,3667.000172
1,eta_signal.public_sync.failed_retry.depth_10.position_last,131072,4051.2532,4027.000343
1,eta_signal.public_sync.failed_retry.depth_10.position_middle,262144,3747.150004,3827.000172
1,eta_signal.public_sync.failed_retry.depth_100.position_last,32768,19183.4406,13747.001373
1,eta_signal.public_sync.successful.depth_1.position_none,524288,1592.847639,2059.000086
1,eta_signal.public_sync.successful.depth_10.position_none,262144,2465.988473,2671.000172
1,eta_signal.public_sync.successful.depth_100.position_none,65536,11323.259969,8791.000687
1,eta_signal.raw.failed_retry.depth_1.position_last,524288,1030.086423,1227.000454
1,eta_signal.raw.failed_retry.depth_10.position_first,262144,1949.832949,1839.000908
1,eta_signal.raw.failed_retry.depth_10.position_last,262144,2572.551239,2199.000908
1,eta_signal.raw.failed_retry.depth_10.position_middle,262144,2226.817742,1999.000908
1,eta_signal.raw.failed_retry.depth_100.position_last,32768,17541.62804,11919.007263
1,eta_signal.raw.successful.depth_1.position_none,1048576,625.052508,797.000227
1,eta_signal.raw.successful.depth_10.position_none,524288,1477.844307,1409.000454
1,eta_signal.raw.successful.depth_100.position_none,65536,10285.140888,7529.003632
2,eta_signal.public_sync.failed_retry.depth_1.position_last,262144,2500.278242,3055.000172
2,eta_signal.public_sync.failed_retry.depth_10.position_first,262144,3431.110599,3667.000172
2,eta_signal.public_sync.failed_retry.depth_10.position_last,131072,4066.29988,4027.000343
2,eta_signal.public_sync.failed_retry.depth_10.position_middle,262144,3737.827683,3827.000172
2,eta_signal.public_sync.failed_retry.depth_100.position_last,32768,19226.25961,13747.001373
2,eta_signal.public_sync.successful.depth_1.position_none,524288,1602.39415,2059.000086
2,eta_signal.public_sync.successful.depth_10.position_none,262144,2458.56063,2671.000172
2,eta_signal.public_sync.successful.depth_100.position_none,65536,11244.857888,8791.000687
2,eta_signal.raw.failed_retry.depth_1.position_last,524288,1028.955467,1227.000454
2,eta_signal.raw.failed_retry.depth_10.position_first,262144,1947.974852,1839.000908
2,eta_signal.raw.failed_retry.depth_10.position_last,262144,2569.976459,2199.000908
2,eta_signal.raw.failed_retry.depth_10.position_middle,262144,2202.265932,1999.000908
2,eta_signal.raw.failed_retry.depth_100.position_last,32768,17561.15671,11919.007263
2,eta_signal.raw.successful.depth_1.position_none,1048576,634.984872,797.000227
2,eta_signal.raw.successful.depth_10.position_none,524288,1466.255526,1409.000454
2,eta_signal.raw.successful.depth_100.position_none,65536,10193.438357,7529.003632
3,eta_signal.public_sync.failed_retry.depth_1.position_last,262144,2520.213457,3055.000172
3,eta_signal.public_sync.failed_retry.depth_10.position_first,262144,3411.087164,3667.000172
3,eta_signal.public_sync.failed_retry.depth_10.position_last,131072,4034.392987,4027.000343
3,eta_signal.public_sync.failed_retry.depth_10.position_middle,262144,3717.334948,3827.000172
3,eta_signal.public_sync.failed_retry.depth_100.position_last,32768,19254.337531,13747.001373
3,eta_signal.public_sync.successful.depth_1.position_none,524288,1577.684088,2059.000086
3,eta_signal.public_sync.successful.depth_10.position_none,262144,2426.830179,2671.000172
3,eta_signal.public_sync.successful.depth_100.position_none,65536,11215.590348,8791.000687
3,eta_signal.raw.failed_retry.depth_1.position_last,524288,1030.758085,1227.000454
3,eta_signal.raw.failed_retry.depth_10.position_first,262144,1939.010872,1839.000908
3,eta_signal.raw.failed_retry.depth_10.position_last,262144,2584.713002,2199.000908
3,eta_signal.raw.failed_retry.depth_10.position_middle,262144,2219.852831,1999.000908
3,eta_signal.raw.failed_retry.depth_100.position_last,32768,17555.423256,11919.007263
3,eta_signal.raw.successful.depth_1.position_none,1048576,604.885145,797.000227
3,eta_signal.raw.successful.depth_10.position_none,524288,1497.623543,1409.000454
3,eta_signal.raw.successful.depth_100.position_none,65536,10232.179193,7529.003632
