pair,name,graph_size,operations,sample,wall_ns,allocated_words
1,control.int.changed.depth_1,2,16777216,1,20.307056,4.000001
1,control.int.changed.depth_1,2,16777216,2,20.309031,4.000001
1,control.int.changed.depth_1,2,16777216,3,20.306288,4.000001
1,control.int.changed.depth_1,2,16777216,4,20.317557,4.000001
1,control.int.changed.depth_1,2,16777216,5,20.311830,4.000001
1,control.int.changed.depth_1,2,16777216,6,20.310281,4.000001
1,control.int.changed.depth_1,2,16777216,7,20.315767,4.000001
1,control.int.changed.depth_1,2,16777216,8,20.335733,4.000001
1,control.int.changed.depth_1,2,16777216,9,20.346590,4.000001
1,incremental.a.raw.int.changed.depth_1,2,16777216,1,33.825700,0.000001
1,incremental.a.raw.int.changed.depth_1,2,16777216,2,32.617507,0.000001
1,incremental.a.raw.int.changed.depth_1,2,16777216,3,32.077608,0.000001
1,incremental.a.raw.int.changed.depth_1,2,16777216,4,32.044284,0.000001
1,incremental.a.raw.int.changed.depth_1,2,16777216,5,32.093823,0.000001
1,incremental.a.raw.int.changed.depth_1,2,16777216,6,32.123793,0.000001
1,incremental.a.raw.int.changed.depth_1,2,16777216,7,32.131851,0.000001
1,incremental.a.raw.int.changed.depth_1,2,16777216,8,32.135603,0.000001
1,incremental.a.raw.int.changed.depth_1,2,16777216,9,32.142950,0.000001
1,a.int.changed.depth_1,2,16777216,1,30.066431,4.000001
1,a.int.changed.depth_1,2,16777216,2,28.426228,4.000001
1,a.int.changed.depth_1,2,16777216,3,27.708296,4.000001
1,a.int.changed.depth_1,2,16777216,4,27.794115,4.000001
1,a.int.changed.depth_1,2,16777216,5,27.894387,4.000001
1,a.int.changed.depth_1,2,16777216,6,27.901578,4.000001
1,a.int.changed.depth_1,2,16777216,7,27.880958,4.000001
1,a.int.changed.depth_1,2,16777216,8,27.862185,4.000001
1,a.int.changed.depth_1,2,16777216,9,27.858377,4.000001
1,incremental.b.raw.int.changed.depth_1,2,16777216,1,32.792698,0.000001
1,incremental.b.raw.int.changed.depth_1,2,16777216,2,32.818264,0.000001
1,incremental.b.raw.int.changed.depth_1,2,16777216,3,32.790723,0.000001
1,incremental.b.raw.int.changed.depth_1,2,16777216,4,32.803598,0.000001
1,incremental.b.raw.int.changed.depth_1,2,16777216,5,32.838116,0.000001
1,incremental.b.raw.int.changed.depth_1,2,16777216,6,32.844909,0.000001
1,incremental.b.raw.int.changed.depth_1,2,16777216,7,32.807762,0.000001
1,incremental.b.raw.int.changed.depth_1,2,16777216,8,32.790666,0.000001
1,incremental.b.raw.int.changed.depth_1,2,16777216,9,32.822015,0.000001
1,b.int.changed.depth_1,2,16777216,1,28.010675,4.000001
1,b.int.changed.depth_1,2,16777216,2,28.029689,4.000001
1,b.int.changed.depth_1,2,16777216,3,28.009836,4.000001
1,b.int.changed.depth_1,2,16777216,4,28.003214,4.000001
1,b.int.changed.depth_1,2,16777216,5,28.046188,4.000001
1,b.int.changed.depth_1,2,16777216,6,28.023180,4.000001
1,b.int.changed.depth_1,2,16777216,7,28.056974,4.000001
1,b.int.changed.depth_1,2,16777216,8,28.006497,4.000001
1,b.int.changed.depth_1,2,16777216,9,28.020438,4.000001
1,incremental.c.raw.int.changed.depth_1,2,16777216,1,34.159598,0.000001
1,incremental.c.raw.int.changed.depth_1,2,16777216,2,34.144762,0.000001
1,incremental.c.raw.int.changed.depth_1,2,16777216,3,34.152208,0.000001
1,incremental.c.raw.int.changed.depth_1,2,16777216,4,34.152805,0.000001
1,incremental.c.raw.int.changed.depth_1,2,16777216,5,34.153871,0.000001
1,incremental.c.raw.int.changed.depth_1,2,16777216,6,34.128732,0.000001
1,incremental.c.raw.int.changed.depth_1,2,16777216,7,32.965062,0.000001
1,incremental.c.raw.int.changed.depth_1,2,16777216,8,31.808725,0.000001
1,incremental.c.raw.int.changed.depth_1,2,16777216,9,31.678923,0.000001
1,c.int.changed.depth_1,2,16777216,1,30.766373,4.000001
1,c.int.changed.depth_1,2,16777216,2,30.836162,4.000001
1,c.int.changed.depth_1,2,16777216,3,30.855659,4.000001
