pair,name,graph_size,operations,median_wall_ns,median_allocated_words
1,a.boxed_old.changed.depth_1,2,16777216,29.905436,4.000001
1,a.boxed_old.changed.depth_10,11,8388608,97.912903,4.000001
1,a.boxed_old.changed.depth_100,101,1048576,883.51635,4.00001
1,a.boxed_young.changed.depth_1,2,16777216,29.381511,6.000001
1,a.int.changed.depth_1,2,16777216,27.880958,4.000001
1,a.int.changed.depth_10,11,8388608,90.308049,4.000001
1,a.int.changed.depth_100,101,1048576,843.884663,4.00001
1,b.boxed_old.changed.depth_1,2,16777216,30.335187,4.000001
1,b.boxed_old.changed.depth_10,11,8388608,104.750029,4.000001
1,b.boxed_old.changed.depth_100,101,524288,905.853085,4.000019
1,b.boxed_young.changed.depth_1,2,16777216,28.450074,6.000001
1,b.int.changed.depth_1,2,16777216,28.020438,4.000001
1,b.int.changed.depth_10,11,8388608,98.849171,4.000001
1,b.int.changed.depth_100,101,1048576,902.076863,4.00001
1,c.boxed_old.changed.depth_1,2,16777216,32.321751,4.000001
1,c.boxed_old.changed.depth_10,11,8388608,115.63111,4.000001
1,c.boxed_old.changed.depth_100,101,524288,1055.04796,4.000019
1,c.boxed_young.changed.depth_1,2,16777216,30.867398,6.000001
1,c.int.changed.depth_1,2,16777216,30.87986,4.000001
1,c.int.changed.depth_10,11,8388608,110.414021,4.000001
1,c.int.changed.depth_100,101,524288,1012.439498,4.000019
1,control.boxed_old.old_ref_store,1,16777216,1.388017,1e-06
1,control.boxed_young.construct,0,16777216,1.090825,2.000001
1,control.boxed_young.old_ref_store,1,16777216,2.01463,2.000001
1,control.int.changed.depth_1,2,16777216,20.31183,4.000001
1,control.int.changed.depth_10,11,16777216,43.989772,4.000001
1,control.int.changed.depth_100,101,2097152,452.400172,4.000005
1,incremental.a.raw.boxed_old.changed.depth_1,2,16777216,37.479467,1e-06
1,incremental.a.raw.boxed_old.changed.depth_10,11,8388608,100.654461,1e-06
1,incremental.a.raw.boxed_old.changed.depth_100,101,524288,1016.612714,1.9e-05
1,incremental.a.raw.int.changed.depth_1,2,16777216,32.131851,1e-06
1,incremental.a.raw.int.changed.depth_10,11,8388608,96.287238,1e-06
1,incremental.a.raw.int.changed.depth_100,101,1048576,979.640845,1e-05
1,incremental.b.raw.boxed_old.changed.depth_1,2,16777216,37.624474,1e-06
1,incremental.b.raw.boxed_old.changed.depth_10,11,8388608,100.574738,1e-06
1,incremental.b.raw.boxed_old.changed.depth_100,101,524288,1061.201147,1.9e-05
1,incremental.b.raw.int.changed.depth_1,2,16777216,32.807762,1e-06
1,incremental.b.raw.int.changed.depth_10,11,8388608,102.229222,1e-06
1,incremental.b.raw.int.changed.depth_100,101,1048576,1033.546596,1e-05
1,incremental.c.raw.boxed_old.changed.depth_1,2,16777216,37.497642,1e-06
1,incremental.c.raw.boxed_old.changed.depth_10,11,8388608,105.169534,1e-06
1,incremental.c.raw.boxed_old.changed.depth_100,101,524288,1099.321253,1.9e-05
1,incremental.c.raw.int.changed.depth_1,2,16777216,34.144762,1e-06
1,incremental.c.raw.int.changed.depth_10,11,8388608,97.104532,1e-06
1,incremental.c.raw.int.changed.depth_100,101,1048576,1085.413942,1e-05
2,a.boxed_old.changed.depth_1,2,16777216,29.380558,4.000001
2,a.boxed_old.changed.depth_10,11,8388608,100.131388,4.000001
2,a.boxed_old.changed.depth_100,101,1048576,881.152118,4.00001
2,a.boxed_young.changed.depth_1,2,16777216,29.595427,6.000001
2,a.int.changed.depth_1,2,16777216,28.088024,4.000001
2,a.int.changed.depth_10,11,8388608,94.725266,4.000001
2,a.int.changed.depth_100,101,524288,858.127351,4.000019
2,b.boxed_old.changed.depth_1,2,16777216,30.248529,4.000001
2,b.boxed_old.changed.depth_10,11,8388608,101.818443,4.000001
2,b.boxed_old.changed.depth_100,101,524288,911.043117,4.000019
2,b.boxed_young.changed.depth_1,2,16777216,28.5455,6.000001
2,b.int.changed.depth_1,2,16777216,28.072122,4.000001
2,b.int.changed.depth_10,11,8388608,94.109055,4.000001
2,b.int.changed.depth_100,101,524288,1150.798653,4.000019
2,c.boxed_old.changed.depth_1,2,16777216,33.053283,4.000001
2,c.boxed_old.changed.depth_10,11,8388608,116.293563,4.000001
2,c.boxed_old.changed.depth_100,101,524288,1063.337095,4.000019
2,c.boxed_young.changed.depth_1,2,16777216,30.94263,6.000001
2,c.int.changed.depth_1,2,16777216,30.682386,4.000001
2,c.int.changed.depth_10,11,4194304,116.71068,4.000002
2,c.int.changed.depth_100,101,524288,1392.715149,4.000019
2,control.boxed_old.old_ref_store,1,16777216,1.391882,1e-06
2,control.boxed_young.construct,0,16777216,1.092801,2.000001
2,control.boxed_young.old_ref_store,1,16777216,2.017629,2.000001
2,control.int.changed.depth_1,2,16777216,20.299609,4.000001
