pair,side,name,operations,sample,wall_ns,allocated_words
1,reference,failed_retry.depth_1.position_last,65536,1,10073.730664,7717.001221
1,reference,failed_retry.depth_1.position_last,65536,2,10042.876966,7717.001221
1,reference,failed_retry.depth_1.position_last,65536,3,10033.432773,7717.001221
1,reference,failed_retry.depth_1.position_last,65536,4,10056.930478,7717.001221
1,reference,failed_retry.depth_1.position_last,65536,5,10098.556231,7717.001221
1,reference,failed_retry.depth_1.position_last,65536,6,10141.222447,7717.001221
1,reference,failed_retry.depth_1.position_last,65536,7,10124.360415,7717.001221
1,reference,failed_retry.depth_1.position_last,65536,8,10104.384273,7717.001221
1,reference,failed_retry.depth_1.position_last,65536,9,10078.187188,7717.001221
1,candidate,failed_retry.depth_1.position_last,131072,1,4465.828169,3026.000610
1,candidate,failed_retry.depth_1.position_last,131072,2,4464.973244,3026.000610
1,candidate,failed_retry.depth_1.position_last,131072,3,4478.073606,3026.000610
1,candidate,failed_retry.depth_1.position_last,131072,4,4477.180482,3026.000610
1,candidate,failed_retry.depth_1.position_last,131072,5,4495.719622,3026.000610
1,candidate,failed_retry.depth_1.position_last,131072,6,4476.592949,3026.000610
1,candidate,failed_retry.depth_1.position_last,131072,7,4481.209544,3026.000610
1,candidate,failed_retry.depth_1.position_last,131072,8,4465.553502,3026.000610
1,candidate,failed_retry.depth_1.position_last,131072,9,4473.595254,3026.000610
1,reference,failed_retry.depth_10.position_last,65536,1,12777.236407,9211.001221
1,reference,failed_retry.depth_10.position_last,65536,2,12878.219422,9211.001221
1,reference,failed_retry.depth_10.position_last,65536,3,12792.846974,9211.001221
1,reference,failed_retry.depth_10.position_last,65536,4,12801.468984,9211.001221
1,reference,failed_retry.depth_10.position_last,65536,5,12817.414245,9211.001221
1,reference,failed_retry.depth_10.position_last,65536,6,12843.142031,9211.001221
1,reference,failed_retry.depth_10.position_last,65536,7,12856.824469,9211.001221
1,reference,failed_retry.depth_10.position_last,65536,8,12846.419850,9211.001221
1,reference,failed_retry.depth_10.position_last,65536,9,12838.547264,9211.001221
1,candidate,failed_retry.depth_10.position_last,131072,1,6076.317732,3368.000610
1,candidate,failed_retry.depth_10.position_last,131072,2,6074.638804,3368.000610
1,candidate,failed_retry.depth_10.position_last,131072,3,6071.113603,3368.000610
1,candidate,failed_retry.depth_10.position_last,131072,4,6079.253581,3368.000610
1,candidate,failed_retry.depth_10.position_last,131072,5,6079.735613,3368.000610
1,candidate,failed_retry.depth_10.position_last,131072,6,6072.838005,3368.000610
1,candidate,failed_retry.depth_10.position_last,131072,7,6012.282029,3368.000610
1,candidate,failed_retry.depth_10.position_last,131072,8,6022.559319,3368.000610
1,candidate,failed_retry.depth_10.position_last,131072,9,6059.379302,3368.000610
1,reference,failed_retry.depth_100.position_last,16384,1,39103.935705,24151.004883
1,reference,failed_retry.depth_100.position_last,16384,2,39157.777792,24151.004883
1,reference,failed_retry.depth_100.position_last,16384,3,38513.491745,24151.004883
1,reference,failed_retry.depth_100.position_last,16384,4,38703.248720,24151.004883
1,reference,failed_retry.depth_100.position_last,16384,5,38775.149733,24151.004883
1,reference,failed_retry.depth_100.position_last,16384,6,38865.473471,24151.004883
1,reference,failed_retry.depth_100.position_last,16384,7,38987.738662,24151.004883
1,reference,failed_retry.depth_100.position_last,16384,8,39012.084017,24151.004883
1,reference,failed_retry.depth_100.position_last,16384,9,38902.886445,24151.004883
