pair,side,name,operations,median_wall_ns,median_allocated_words
1,candidate,cancelled_contender,131072,7588.03435,4132.000076
1,candidate,dynamic_scope_cleanup,16384,220951.711526,4073.005554
1,candidate,failed_retry.depth_1.position_last,131072,4476.592949,3026.00061
1,candidate,failed_retry.depth_10.position_last,131072,6072.838005,3368.00061
1,candidate,failed_retry.depth_100.position_last,32768,29930.02272,7808.002441
1,candidate,observer_disposal,4096,1633546.373341,310969.002441
1,candidate,observer_failure_retry,65536,10290.175851,7178.000153
1,candidate,timer_cycle,65536,14770.143025,9614.000153
1,reference,cancelled_contender,65536,11889.449524,7559.000153
1,reference,dynamic_scope_cleanup,65536,8911.087207,7304.001221
1,reference,failed_retry.depth_1.position_last,65536,10078.187188,7717.001221
1,reference,failed_retry.depth_10.position_last,65536,12838.547264,9211.001221
1,reference,failed_retry.depth_100.position_last,16384,38902.886445,24151.004883
1,reference,observer_disposal,65536,8776.598406,6169.000153
1,reference,observer_failure_retry,65536,14080.887922,11018.000153
1,reference,timer_cycle,16384,30832.146876,21548.00061
2,candidate,cancelled_contender,131072,7607.643056,4132.000076
2,candidate,dynamic_scope_cleanup,16384,183530.093636,4073.005554
2,candidate,failed_retry.depth_1.position_last,131072,4465.43163,3026.00061
2,candidate,failed_retry.depth_10.position_last,131072,6068.63432,3368.00061
2,candidate,failed_retry.depth_100.position_last,32768,30005.554436,7808.002441
2,candidate,observer_disposal,4096,1647210.447118,310969.002441
2,candidate,observer_failure_retry,65536,10202.544217,7178.000153
2,candidate,timer_cycle,65536,14732.482668,9614.000153
2,reference,cancelled_contender,65536,11857.162463,7559.000153
2,reference,dynamic_scope_cleanup,65536,8996.201359,7304.001221
2,reference,failed_retry.depth_1.position_last,65536,10108.36786,7717.001221
2,reference,failed_retry.depth_10.position_last,65536,12905.256881,9211.001221
2,reference,failed_retry.depth_100.position_last,16384,39039.179683,24151.004883
2,reference,observer_disposal,65536,8792.296285,6169.000153
2,reference,observer_failure_retry,65536,14155.273675,11018.000153
2,reference,timer_cycle,16384,30812.749173,21548.00061
3,candidate,cancelled_contender,131072,7563.920008,4132.000076
3,candidate,dynamic_scope_cleanup,16384,182970.397873,4073.005554
3,candidate,failed_retry.depth_1.position_last,131072,4466.315659,3026.00061
3,candidate,failed_retry.depth_10.position_last,131072,6084.801498,3368.00061
3,candidate,failed_retry.depth_100.position_last,32768,30026.640161,7808.002441
3,candidate,observer_disposal,4096,1630002.923775,310969.002441
3,candidate,observer_failure_retry,65536,10199.324606,7178.000153
3,candidate,timer_cycle,65536,14739.944163,9614.000153
3,reference,cancelled_contender,65536,11860.382074,7559.000153
3,reference,dynamic_scope_cleanup,65536,8929.04427,7304.001221
3,reference,failed_retry.depth_1.position_last,65536,10107.221897,7717.001221
3,reference,failed_retry.depth_10.position_last,65536,12901.746231,9211.001221
3,reference,failed_retry.depth_100.position_last,16384,39049.438783,24151.004883
3,reference,observer_disposal,65536,8791.899745,6169.000153
3,reference,observer_failure_retry,65536,14062.301489,11018.000153
3,reference,timer_cycle,16384,30946.233892,21548.00061
