pair,boundary,side,workload,operations,sample,wall_ns,allocated_words
1,raw,reference,changed.depth_1,16777216,1,51.913020,6.000001
1,raw,reference,changed.depth_1,16777216,2,51.615601,6.000001
1,raw,reference,changed.depth_1,16777216,3,51.573039,6.000001
1,raw,reference,changed.depth_1,16777216,4,51.788561,6.000001
1,raw,reference,changed.depth_1,16777216,5,51.940731,6.000001
1,raw,reference,changed.depth_1,16777216,6,51.798523,6.000001
1,raw,reference,changed.depth_1,16777216,7,51.667925,6.000001
1,raw,reference,changed.depth_1,16777216,8,51.660706,6.000001
1,raw,reference,changed.depth_1,16777216,9,51.940319,6.000001
1,raw,finalist,changed.depth_1,16777216,1,41.781249,0.000001
1,raw,finalist,changed.depth_1,16777216,2,41.679854,0.000001
1,raw,finalist,changed.depth_1,16777216,3,41.647738,0.000001
1,raw,finalist,changed.depth_1,16777216,4,41.663000,0.000001
1,raw,finalist,changed.depth_1,16777216,5,41.681062,0.000001
1,raw,finalist,changed.depth_1,16777216,6,41.703217,0.000001
1,raw,finalist,changed.depth_1,16777216,7,41.680394,0.000001
1,raw,finalist,changed.depth_1,16777216,8,41.670859,0.000001
1,raw,finalist,changed.depth_1,16777216,9,41.650594,0.000001
1,public,reference,changed.depth_1,16777216,1,51.784994,6.000001
1,public,reference,changed.depth_1,16777216,2,51.660777,6.000001
1,public,reference,changed.depth_1,16777216,3,51.896393,6.000001
1,public,reference,changed.depth_1,16777216,4,51.382244,6.000001
1,public,reference,changed.depth_1,16777216,5,51.683244,6.000001
1,public,reference,changed.depth_1,16777216,6,51.718899,6.000001
1,public,reference,changed.depth_1,16777216,7,51.710018,6.000001
1,public,reference,changed.depth_1,16777216,8,51.534343,6.000001
1,public,reference,changed.depth_1,16777216,9,51.246815,6.000001
1,public,finalist,changed.depth_1,131072,1,5584.906830,3833.000641
1,public,finalist,changed.depth_1,131072,2,5591.651643,3833.000641
1,public,finalist,changed.depth_1,131072,3,5587.753549,3833.000641
1,public,finalist,changed.depth_1,131072,4,5565.780157,3833.000641
1,public,finalist,changed.depth_1,131072,5,5594.971299,3833.000641
1,public,finalist,changed.depth_1,131072,6,5616.309863,3833.000641
1,public,finalist,changed.depth_1,131072,7,5608.399078,3833.000641
1,public,finalist,changed.depth_1,131072,8,5610.854714,3833.000641
1,public,finalist,changed.depth_1,131072,9,5599.495125,3833.000641
1,raw,reference,changed.depth_10,4194304,1,118.209357,6.000002
1,raw,reference,changed.depth_10,4194304,2,119.962465,6.000002
1,raw,reference,changed.depth_10,4194304,3,122.783661,6.000002
1,raw,reference,changed.depth_10,4194304,4,123.331063,6.000002
1,raw,reference,changed.depth_10,4194304,5,123.683662,6.000002
1,raw,reference,changed.depth_10,4194304,6,122.910706,6.000002
1,raw,reference,changed.depth_10,4194304,7,125.532381,6.000002
1,raw,reference,changed.depth_10,4194304,8,120.467917,6.000002
1,raw,reference,changed.depth_10,4194304,9,120.958589,6.000002
1,raw,finalist,changed.depth_10,4194304,1,152.537837,0.000002
1,raw,finalist,changed.depth_10,4194304,2,152.278403,0.000002
1,raw,finalist,changed.depth_10,4194304,3,151.671884,0.000002
1,raw,finalist,changed.depth_10,4194304,4,151.580537,0.000002
1,raw,finalist,changed.depth_10,4194304,5,151.637096,0.000002
1,raw,finalist,changed.depth_10,4194304,6,151.815868,0.000002
1,raw,finalist,changed.depth_10,4194304,7,151.688823,0.000002
1,raw,finalist,changed.depth_10,4194304,8,151.747486,0.000002
1,raw,finalist,changed.depth_10,4194304,9,151.668075,0.000002
1,public,reference,changed.depth_10,4194304,1,120.692732,6.000002
1,public,reference,changed.depth_10,4194304,2,116.238596,6.000002
1,public,reference,changed.depth_10,4194304,3,117.203228,6.000002
1,public,reference,changed.depth_10,4194304,4,117.094032,6.000002
1,public,reference,changed.depth_10,4194304,5,123.426219,6.000002
1,public,reference,changed.depth_10,4194304,6,124.765847,6.000002
1,public,reference,changed.depth_10,4194304,7,125.435349,6.000002
1,public,reference,changed.depth_10,4194304,8,125.879751,6.000002
1,public,reference,changed.depth_10,4194304,9,125.425345,6.000002
1,public,finalist,changed.depth_10,131072,1,6702.330211,4058.000641
1,public,finalist,changed.depth_10,131072,2,6723.632396,4058.000641
1,public,finalist,changed.depth_10,131072,3,6708.754881,4058.000641
1,public,finalist,changed.depth_10,131072,4,6772.064808,4058.000641
1,public,finalist,changed.depth_10,131072,5,6803.231372,4058.000641
1,public,finalist,changed.depth_10,131072,6,6773.880159,4058.000641
1,public,finalist,changed.depth_10,131072,7,6774.940630,4058.000641
1,public,finalist,changed.depth_10,131072,8,6724.578270,4058.000641
1,public,finalist,changed.depth_10,131072,9,6701.522580,4058.000641
1,raw,reference,changed.depth_100,524288,1,1017.604973,6.000019
1,raw,reference,changed.depth_100,524288,2,1016.620899,6.000019
1,raw,reference,changed.depth_100,524288,3,1016.855094,6.000019
1,raw,reference,changed.depth_100,524288,4,1016.227543,6.000019
1,raw,reference,changed.depth_100,524288,5,1016.698661,6.000019
1,raw,reference,changed.depth_100,524288,6,1017.309387,6.000019
1,raw,reference,changed.depth_100,524288,7,1017.827799,6.000019
1,raw,reference,changed.depth_100,524288,8,1019.880074,6.000019
1,raw,reference,changed.depth_100,524288,9,1022.125161,6.000019
1,raw,finalist,changed.depth_100,524288,1,1336.828063,0.000019
1,raw,finalist,changed.depth_100,524288,2,1332.141892,0.000019
1,raw,finalist,changed.depth_100,524288,3,1329.217866,0.000019
1,raw,finalist,changed.depth_100,524288,4,1333.658020,0.000019
1,raw,finalist,changed.depth_100,524288,5,1329.725364,0.000019
1,raw,finalist,changed.depth_100,524288,6,1331.581188,0.000019
1,raw,finalist,changed.depth_100,524288,7,1332.175998,0.000019
1,raw,finalist,changed.depth_100,524288,8,1334.443823,0.000019
1,raw,finalist,changed.depth_100,524288,9,1332.929514,0.000019
1,public,reference,changed.depth_100,524288,1,1164.035893,6.000019
1,public,reference,changed.depth_100,524288,2,1165.090453,6.000019
1,public,reference,changed.depth_100,524288,3,1164.140485,6.000019
1,public,reference,changed.depth_100,524288,4,1163.806701,6.000019
1,public,reference,changed.depth_100,524288,5,1164.825335,6.000019
1,public,reference,changed.depth_100,524288,6,1165.553840,6.000019
1,public,reference,changed.depth_100,524288,7,1136.367700,6.000019
1,public,reference,changed.depth_100,524288,8,1134.340437,6.000019
1,public,reference,changed.depth_100,524288,9,1134.508238,6.000019
1,public,finalist,changed.depth_100,32768,1,24315.064366,7124.002563
1,public,finalist,changed.depth_100,32768,2,24357.112125,7124.002563
1,public,finalist,changed.depth_100,32768,3,24327.120627,7124.002563
1,public,finalist,changed.depth_100,32768,4,24226.625101,7124.002563
1,public,finalist,changed.depth_100,32768,5,24257.235054,7124.002563
