pair,boundary,side,workload,operations,median_wall_ns,median_allocated_words
1,public,finalist,changed.depth_1,131072,5594.971299,3833.000641
1,public,finalist,changed.depth_10,131072,6724.57827,4058.000641
1,public,finalist,changed.depth_100,32768,24280.241632,7124.002563
1,public,finalist,cutoff.depth_10,131072,4133.407856,2351.000641
1,public,finalist,dynamic.switch,16384,228096.061619,4073.005127
1,public,finalist,map.child_change.10000,1024,675735.296682,3944.082031
1,public,finalist,map.child_change.100000,32,15745528.042316,3970.625
1,public,finalist,map.data_change.10000,4096,168924.336322,4257.020508
1,public,finalist,map.data_change.100000,256,3572155.721486,4349.328125
1,public,finalist,map.membership_change.10000,4096,159579.562023,4495.020508
1,public,finalist,map.membership_change.100000,256,3535699.099302,4628.328125
1,public,reference,changed.depth_1,16777216,51.683244,6.000001
1,public,reference,changed.depth_10,4194304,123.426219,6.000002
1,public,reference,changed.depth_100,524288,1164.035893,6.000019
1,public,reference,cutoff.depth_10,16777216,30.857265,1e-06
1,public,reference,dynamic.switch,4194304,151.644656,49.000002
1,public,reference,map.child_change.10000,8388608,115.927577,84.000001
1,public,reference,map.child_change.100000,4194304,129.223338,108.000002
1,public,reference,map.data_change.10000,2097152,287.168064,186.000005
1,public,reference,map.data_change.100000,2097152,359.110345,234.000005
1,public,reference,map.membership_change.10000,1048576,488.936394,349.50001
1,public,reference,map.membership_change.100000,1048576,575.410695,439.50001
1,raw,finalist,changed.depth_1,16777216,41.679854,1e-06
1,raw,finalist,changed.depth_10,4194304,151.688823,2e-06
1,raw,finalist,changed.depth_100,524288,1332.175998,1.9e-05
1,raw,finalist,cutoff.depth_10,16777216,39.651823,1e-06
1,raw,finalist,dynamic.switch,4194304,129.460773,47.000002
1,raw,finalist,map.child_change.10000,8388608,116.546147,89.000001
1,raw,finalist,map.child_change.100000,4194304,123.208963,113.000002
1,raw,finalist,map.data_change.10000,4194304,213.575106,214.000002
1,raw,finalist,map.data_change.100000,4194304,238.734231,262.000002
1,raw,finalist,map.membership_change.10000,2097152,287.871899,368.000005
1,raw,finalist,map.membership_change.100000,2097152,319.874289,422.000005
1,raw,reference,changed.depth_1,16777216,51.788561,6.000001
1,raw,reference,changed.depth_10,4194304,122.783661,6.000002
1,raw,reference,changed.depth_100,524288,1017.309387,6.000019
1,raw,reference,cutoff.depth_10,16777216,30.439026,1e-06
1,raw,reference,dynamic.switch,4194304,142.061481,49.000002
1,raw,reference,map.child_change.10000,8388608,114.064335,84.000001
1,raw,reference,map.child_change.100000,4194304,127.908493,108.000002
1,raw,reference,map.data_change.10000,2097152,293.559992,186.000005
1,raw,reference,map.data_change.100000,2097152,350.560754,234.000005
1,raw,reference,map.membership_change.10000,1048576,479.706614,349.50001
1,raw,reference,map.membership_change.100000,1048576,569.4028,439.50001
2,public,finalist,changed.depth_1,131072,5767.335097,3833.000641
2,public,finalist,changed.depth_10,131072,6862.615919,4058.000641
2,public,finalist,changed.depth_100,32768,24287.779524,7124.002563
2,public,finalist,cutoff.depth_10,131072,4215.698937,2351.000641
2,public,finalist,dynamic.switch,16384,244768.074481,4073.005127
2,public,finalist,map.child_change.10000,1024,677583.04067,3944.082031
2,public,finalist,map.child_change.100000,64,15809014.439583,3969.3125
2,public,finalist,map.data_change.10000,4096,167899.415828,4257.020508
2,public,finalist,map.data_change.100000,256,3581468.947232,4349.328125
2,public,finalist,map.membership_change.10000,4096,171389.139723,4495.020508
2,public,finalist,map.membership_change.100000,256,3623027.354479,4628.328125
2,public,reference,changed.depth_1,16777216,51.541434,6.000001
2,public,reference,changed.depth_10,4194304,121.406288,6.000002
2,public,reference,changed.depth_100,524288,1132.585567,6.000019
2,public,reference,cutoff.depth_10,16777216,32.049897,1e-06
2,public,reference,dynamic.switch,4194304,143.114562,49.000002
2,public,reference,map.child_change.10000,8388608,113.775258,84.000001
