pair,name,graph_size,operations,sample,wall_ns,allocated_words
1,incremental.raw.changed.depth_1,2,16777216,1,32.732487,0.000001
1,incremental.raw.changed.depth_1,2,16777216,2,31.899390,0.000001
1,incremental.raw.changed.depth_1,2,16777216,3,31.911370,0.000001
1,incremental.raw.changed.depth_1,2,16777216,4,31.899205,0.000001
1,incremental.raw.changed.depth_1,2,16777216,5,31.725833,0.000001
1,incremental.raw.changed.depth_1,2,16777216,6,31.511064,0.000001
1,incremental.raw.changed.depth_1,2,16777216,7,32.033086,0.000001
1,incremental.raw.changed.depth_1,2,16777216,8,31.616040,0.000001
1,incremental.raw.changed.depth_1,2,16777216,9,31.621639,0.000001
1,b.changed.depth_1,2,16777216,1,15.067940,4.000001
1,b.changed.depth_1,2,16777216,2,15.078655,4.000001
1,b.changed.depth_1,2,16777216,3,15.079436,4.000001
1,b.changed.depth_1,2,16777216,4,15.083018,4.000001
1,b.changed.depth_1,2,16777216,5,15.080630,4.000001
1,b.changed.depth_1,2,16777216,6,15.082477,4.000001
1,b.changed.depth_1,2,16777216,7,15.103410,4.000001
1,b.changed.depth_1,2,16777216,8,15.120264,4.000001
1,b.changed.depth_1,2,16777216,9,15.072700,4.000001
1,incremental.raw.changed.depth_10,11,8388608,1,105.522616,0.000001
1,incremental.raw.changed.depth_10,11,8388608,2,100.778919,0.000001
1,incremental.raw.changed.depth_10,11,8388608,3,99.684485,0.000001
1,incremental.raw.changed.depth_10,11,8388608,4,101.495147,0.000001
1,incremental.raw.changed.depth_10,11,8388608,5,102.140433,0.000001
1,incremental.raw.changed.depth_10,11,8388608,6,102.117752,0.000001
1,incremental.raw.changed.depth_10,11,8388608,7,102.037802,0.000001
1,incremental.raw.changed.depth_10,11,8388608,8,104.103435,0.000001
1,incremental.raw.changed.depth_10,11,8388608,9,105.612742,0.000001
1,b.changed.depth_10,11,16777216,1,46.860649,4.000001
1,b.changed.depth_10,11,16777216,2,46.854851,4.000001
1,b.changed.depth_10,11,16777216,3,46.856769,4.000001
1,b.changed.depth_10,11,16777216,4,46.856044,4.000001
1,b.changed.depth_10,11,16777216,5,46.882036,4.000001
1,b.changed.depth_10,11,16777216,6,46.853245,4.000001
1,b.changed.depth_10,11,16777216,7,46.857068,4.000001
1,b.changed.depth_10,11,16777216,8,46.865992,4.000001
1,b.changed.depth_10,11,16777216,9,46.863079,4.000001
1,incremental.raw.changed.depth_100,101,524288,1,1033.203262,0.000019
1,incremental.raw.changed.depth_100,101,524288,2,1031.055490,0.000019
1,incremental.raw.changed.depth_100,101,524288,3,1038.230948,0.000019
1,incremental.raw.changed.depth_100,101,524288,4,1034.251909,0.000019
1,incremental.raw.changed.depth_100,101,524288,5,1036.258709,0.000019
