pair,name,graph_size,operations,median_wall_ns,median_allocated_words
1,b.changed.depth_1,2,16777216,15.08063,4.000001
1,b.changed.depth_10,11,16777216,46.857068,4.000001
1,b.changed.depth_100,101,2097152,373.683406,4.000005
1,b.cutoff.depth_10,12,16777216,12.108671,4.000001
1,b.lifecycle.create.graph_8,8,16777216,23.794655,15.000001
1,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,14.975186,5.000001
1,b.lifecycle.retire_cleanup.graph_8,8,16777216,18.243909,13.000001
1,b.lifecycle.reuse.graph_8,8,16777216,16.48641,13.000001
1,incremental.raw.changed.depth_1,2,16777216,31.899205,1e-06
1,incremental.raw.changed.depth_10,11,8388608,102.117752,1e-06
1,incremental.raw.changed.depth_100,101,524288,1034.417892,1.9e-05
1,incremental.raw.cutoff.depth_10,12,16777216,30.780555,1e-06
2,b.changed.depth_1,2,16777216,15.04803,4.000001
2,b.changed.depth_10,11,16777216,46.672469,4.000001
2,b.changed.depth_100,101,2097152,373.812099,4.000005
2,b.cutoff.depth_10,12,16777216,11.496311,4.000001
2,b.lifecycle.create.graph_8,8,16777216,23.824029,15.000001
2,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,14.912786,5.000001
2,b.lifecycle.retire_cleanup.graph_8,8,16777216,18.211892,13.000001
2,b.lifecycle.reuse.graph_8,8,16777216,16.470906,13.000001
2,incremental.raw.changed.depth_1,2,16777216,33.187391,1e-06
2,incremental.raw.changed.depth_10,11,8388608,104.809772,1e-06
2,incremental.raw.changed.depth_100,101,524288,1032.167347,1.9e-05
2,incremental.raw.cutoff.depth_10,12,16777216,30.684646,1e-06
3,b.changed.depth_1,2,16777216,15.042076,4.000001
3,b.changed.depth_10,11,16777216,50.811877,4.000001
3,b.changed.depth_100,101,2097152,371.195256,4.000005
3,b.cutoff.depth_10,12,16777216,11.489036,4.000001
3,b.lifecycle.create.graph_8,8,16777216,23.828022,15.000001
3,b.lifecycle.failed_retire_rollback.graph_8,8,16777216,15.356903,5.000001
3,b.lifecycle.retire_cleanup.graph_8,8,16777216,18.177573,13.000001
3,b.lifecycle.reuse.graph_8,8,16777216,16.489693,13.000001
3,incremental.raw.changed.depth_1,2,16777216,31.840926,1e-06
3,incremental.raw.changed.depth_10,11,8388608,100.926883,1e-06
3,incremental.raw.changed.depth_100,101,524288,1029.430223,1.9e-05
3,incremental.raw.cutoff.depth_10,12,16777216,30.661454,1e-06
