pair,name,operations,sample,wall_ns,allocated_words
1,incremental.raw.changed.depth_1,16777216,1,32.324252,0.000001
1,incremental.raw.changed.depth_1,16777216,2,31.689225,0.000001
1,incremental.raw.changed.depth_1,16777216,3,31.657052,0.000001
1,incremental.raw.changed.depth_1,16777216,4,31.627536,0.000001
1,incremental.raw.changed.depth_1,16777216,5,31.607627,0.000001
1,incremental.raw.changed.depth_1,16777216,6,31.033935,0.000001
1,incremental.raw.changed.depth_1,16777216,7,31.053659,0.000001
1,incremental.raw.changed.depth_1,16777216,8,31.126731,0.000001
1,incremental.raw.changed.depth_1,16777216,9,31.611023,0.000001
1,r1.changed.depth_1,16777216,1,36.229309,4.000001
1,r1.changed.depth_1,16777216,2,35.921033,4.000001
1,r1.changed.depth_1,16777216,3,34.114350,4.000001
1,r1.changed.depth_1,16777216,4,34.034599,4.000001
1,r1.changed.depth_1,16777216,5,34.120262,4.000001
1,r1.changed.depth_1,16777216,6,34.283460,4.000001
1,r1.changed.depth_1,16777216,7,33.747682,4.000001
1,r1.changed.depth_1,16777216,8,33.733187,4.000001
1,r1.changed.depth_1,16777216,9,33.777482,4.000001
1,incremental.raw.changed.depth_10,8388608,1,110.381961,0.000001
1,incremental.raw.changed.depth_10,8388608,2,110.564230,0.000001
1,incremental.raw.changed.depth_10,8388608,3,103.223584,0.000001
1,incremental.raw.changed.depth_10,8388608,4,96.188671,0.000001
1,incremental.raw.changed.depth_10,8388608,5,96.632618,0.000001
1,incremental.raw.changed.depth_10,8388608,6,97.109080,0.000001
1,incremental.raw.changed.depth_10,8388608,7,96.691963,0.000001
1,incremental.raw.changed.depth_10,8388608,8,96.253274,0.000001
1,incremental.raw.changed.depth_10,8388608,9,103.183140,0.000001
1,r1.changed.depth_10,4194304,1,125.274710,4.000002
1,r1.changed.depth_10,4194304,2,125.411020,4.000002
1,r1.changed.depth_10,4194304,3,129.644661,4.000002
1,r1.changed.depth_10,4194304,4,131.578417,4.000002
1,r1.changed.depth_10,4194304,5,130.699163,4.000002
1,r1.changed.depth_10,4194304,6,130.971898,4.000002
1,r1.changed.depth_10,4194304,7,131.264414,4.000002
1,r1.changed.depth_10,4194304,8,131.023171,4.000002
1,r1.changed.depth_10,4194304,9,130.916590,4.000002
1,incremental.raw.changed.depth_100,524288,1,1083.089956,0.000019
1,incremental.raw.changed.depth_100,524288,2,1082.486961,0.000019
1,incremental.raw.changed.depth_100,524288,3,1081.985374,0.000019
1,incremental.raw.changed.depth_100,524288,4,1083.045845,0.000019
1,incremental.raw.changed.depth_100,524288,5,1082.443305,0.000019
1,incremental.raw.changed.depth_100,524288,6,1081.747087,0.000019
1,incremental.raw.changed.depth_100,524288,7,1084.591077,0.000019
1,incremental.raw.changed.depth_100,524288,8,1082.861218,0.000019
1,incremental.raw.changed.depth_100,524288,9,1084.198175,0.000019
1,r1.changed.depth_100,524288,1,1160.383363,4.000019
1,r1.changed.depth_100,524288,2,1122.314188,4.000019
1,r1.changed.depth_100,524288,3,1098.926532,4.000019
1,r1.changed.depth_100,524288,4,1095.914740,4.000019
1,r1.changed.depth_100,524288,5,1097.017503,4.000019
1,r1.changed.depth_100,524288,6,1098.354460,4.000019
1,r1.changed.depth_100,524288,7,1097.415861,4.000019
1,r1.changed.depth_100,524288,8,1097.027052,4.000019
1,r1.changed.depth_100,524288,9,1096.189862,4.000019
1,incremental.raw.cutoff.depth_10,16777216,1,31.198866,0.000001
1,incremental.raw.cutoff.depth_10,16777216,2,31.198383,0.000001
1,incremental.raw.cutoff.depth_10,16777216,3,30.542850,0.000001
1,incremental.raw.cutoff.depth_10,16777216,4,29.875878,0.000001
1,incremental.raw.cutoff.depth_10,16777216,5,29.874869,0.000001
1,incremental.raw.cutoff.depth_10,16777216,6,29.909074,0.000001
1,incremental.raw.cutoff.depth_10,16777216,7,29.871103,0.000001
1,incremental.raw.cutoff.depth_10,16777216,8,29.864196,0.000001
1,incremental.raw.cutoff.depth_10,16777216,9,29.864310,0.000001
1,r1.cutoff.depth_10,16777216,1,30.159597,4.000001
1,r1.cutoff.depth_10,16777216,2,30.163704,4.000001
1,r1.cutoff.depth_10,16777216,3,30.158688,4.000001
1,r1.cutoff.depth_10,16777216,4,30.149877,4.000001
1,r1.cutoff.depth_10,16777216,5,30.453137,4.000001
1,r1.cutoff.depth_10,16777216,6,30.251030,4.000001
1,r1.cutoff.depth_10,16777216,7,30.149394,4.000001
1,r1.cutoff.depth_10,16777216,8,30.435331,4.000001
1,r1.cutoff.depth_10,16777216,9,30.239889,4.000001
1,r1.fan_in.diamond,8388608,1,88.173266,16.000001
1,r1.fan_in.diamond,8388608,2,88.645692,16.000001
1,r1.fan_in.diamond,8388608,3,90.123194,16.000001
1,r1.fan_in.diamond,8388608,4,90.772744,16.000001
1,r1.fan_in.diamond,8388608,5,94.481834,16.000001
1,r1.fan_in.diamond,8388608,6,94.279414,16.000001
1,r1.fan_in.diamond,8388608,7,93.549374,16.000001
1,r1.fan_in.diamond,8388608,8,92.670092,16.000001
1,r1.fan_in.diamond,8388608,9,88.598000,16.000001
1,incremental.raw.changed.depth_1,16777216,1,33.174445,0.000001
1,incremental.raw.changed.depth_1,16777216,2,33.217901,0.000001
1,incremental.raw.changed.depth_1,16777216,3,33.166174,0.000001
1,incremental.raw.changed.depth_1,16777216,4,33.200550,0.000001
1,incremental.raw.changed.depth_1,16777216,5,33.176718,0.000001
1,incremental.raw.changed.depth_1,16777216,6,33.181365,0.000001
1,incremental.raw.changed.depth_1,16777216,7,33.191441,0.000001
1,incremental.raw.changed.depth_1,16777216,8,33.204969,0.000001
1,incremental.raw.changed.depth_1,16777216,9,33.184762,0.000001
1,r2.changed.depth_1,16777216,1,33.980967,4.000001
1,r2.changed.depth_1,16777216,2,33.842568,4.000001
1,r2.changed.depth_1,16777216,3,33.917246,4.000001
1,r2.changed.depth_1,16777216,4,33.849233,4.000001
1,r2.changed.depth_1,16777216,5,33.882500,4.000001
1,r2.changed.depth_1,16777216,6,33.898473,4.000001
1,r2.changed.depth_1,16777216,7,33.851691,4.000001
1,r2.changed.depth_1,16777216,8,33.906943,4.000001
1,r2.changed.depth_1,16777216,9,33.977457,4.000001
1,incremental.raw.changed.depth_10,8388608,1,101.278999,0.000001
1,incremental.raw.changed.depth_10,8388608,2,98.556399,0.000001
1,incremental.raw.changed.depth_10,8388608,3,99.331857,0.000001
1,incremental.raw.changed.depth_10,8388608,4,98.578226,0.000001
1,incremental.raw.changed.depth_10,8388608,5,97.503772,0.000001
1,incremental.raw.changed.depth_10,8388608,6,99.989649,0.000001
1,incremental.raw.changed.depth_10,8388608,7,98.773114,0.000001
1,incremental.raw.changed.depth_10,8388608,8,97.307066,0.000001
1,incremental.raw.changed.depth_10,8388608,9,97.674473,0.000001
1,r2.changed.depth_10,4194304,1,137.676693,4.000002
1,r2.changed.depth_10,4194304,2,134.936101,4.000002
1,r2.changed.depth_10,4194304,3,123.403311,4.000002
