pair,name,operations,median_wall_ns,median_allocated_words
1,incremental.raw.changed.depth_1,16777216,31.708893,1e-06
1,incremental.raw.changed.depth_10,8388608,102.63424599999999,1e-06
1,incremental.raw.changed.depth_100,524288,1012.96655,1.9e-05
1,incremental.raw.cutoff.depth_10,16777216,31.6501525,1e-06
1,r06.changed.depth_1,16777216,18.739513,4.000001
1,r06.changed.depth_10,16777216,52.400821,4.000001
1,r06.changed.depth_100,1048576,523.093377,4.00001
1,r06.cutoff.depth_10,16777216,18.877927,4.000001
1,r1.changed.depth_1,16777216,34.11435,4.000001
1,r1.changed.depth_10,4194304,130.91659,4.000002
1,r1.changed.depth_100,524288,1097.415861,4.000019
1,r1.cutoff.depth_10,16777216,30.163704,4.000001
1,r1.failed_retry.depth_1,8388608,98.079681,8.000001
1,r1.failed_retry.depth_10,2097152,304.14526,8.000005
1,r1.failed_retry.depth_100,262144,2332.435542,8.000038
1,r1.fan_in.diamond,8388608,90.772744,16.000001
1,r1a.changed.depth_10,8388608,100.278498,4.000001
1,r1a.changed.depth_100,1048576,889.341436,4.00001
1,r1b.changed.depth_1,16777216,31.008838,4.000001
1,r1b.changed.depth_10,8388608,102.238999,4.000001
1,r1b.changed.depth_100,524288,970.08342,4.000019
1,r1b.cutoff.depth_10,16777216,28.078546,4.000001
1,r1b.failed_retry.depth_1,8388608,89.75303,8.000001
1,r1b.failed_retry.depth_10,2097152,273.913429,8.000005
1,r1b.failed_retry.depth_100,262144,2035.587386,8.000038
1,r1b.fan_in.diamond,8388608,81.089979,16.000001
1,r1i.changed.depth_1,16777216,24.39451,4.000001
1,r1i.changed.depth_10,8388608,69.400187,4.000001
1,r1i.changed.depth_100,1048576,695.329618,4.00001
1,r1i.cutoff.depth_10,16777216,22.77821,4.000001
1,r1i.failed_retry.depth_1,8388608,74.347753,8.000001
1,r1i.failed_retry.depth_10,4194304,218.863704,8.000002
1,r1i.failed_retry.depth_100,524288,1597.709343,8.000019
1,r1i.fan_in.diamond,8388608,69.766628,16.000001
1,r1m.changed.depth_1,16777216,30.321416,4.000001
1,r1m.changed.depth_10,8388608,101.773992,4.000001
1,r1m.changed.depth_100,524288,1006.031198,4.000019
1,r1m.cutoff.depth_10,16777216,27.668946,4.000001
1,r1m.failed_retry.depth_1,8388608,87.482817,8.000001
1,r1m.failed_retry.depth_10,2097152,251.91548,8.000005
1,r1m.failed_retry.depth_100,262144,1988.166332,8.000038
1,r1m.fan_in.diamond,8388608,81.073523,16.000001
1,r1n.changed.depth_1,16777216,25.572717,4.000001
1,r1n.changed.depth_10,16777216,58.421307,4.000001
1,r1n.changed.depth_100,1048576,543.29098,4.00001
1,r1n.cutoff.depth_10,16777216,25.455108,4.000001
1,r1w.changed.depth_10,4194304,109.5774,4.000002
1,r2.changed.depth_1,16777216,33.898473,4.000001
1,r2.changed.depth_10,4194304,123.451969,4.000002
1,r2.changed.depth_100,524288,1032.650289,4.000019
1,r2.cutoff.depth_10,16777216,30.156542,4.000001
1,r2.failed_retry.depth_1,8388608,103.329882,8.000001
1,r2.failed_retry.depth_10,2097152,276.290848,8.000005
1,r2.failed_retry.depth_100,262144,2082.027095,8.000038
1,r2.fan_in.diamond,8388608,91.871726,16.000001
1,r2m.changed.depth_1,16777216,30.683807,4.000001
1,r2m.changed.depth_10,8388608,109.635806,4.000001
1,r2m.changed.depth_100,524288,994.533821,4.000019
1,r2m.cutoff.depth_10,16777216,29.273622,4.000001
1,r2m.failed_retry.depth_1,8388608,83.312273,8.000001
1,r2m.failed_retry.depth_10,2097152,251.296001,8.000005
1,r2m.failed_retry.depth_100,262144,1849.251021,8.000038
1,r2m.fan_in.diamond,8388608,82.614406,16.000001
2,incremental.raw.changed.depth_1,16777216,33.064488,1e-06
