pair,name,operations,sample,wall_ns,allocated_words
1,plan.changed.depth_1,16777216,1,12.790508,9.000001
1,plan.changed.depth_1,16777216,2,12.767202,9.000001
1,plan.changed.depth_1,16777216,3,12.777377,9.000001
1,plan.changed.depth_1,16777216,4,12.803923,9.000001
1,plan.changed.depth_1,16777216,5,12.813629,9.000001
1,plan.changed.depth_1,16777216,6,12.788064,9.000001
1,plan.changed.depth_1,16777216,7,12.784952,9.000001
1,plan.changed.depth_1,16777216,8,12.784355,9.000001
1,plan.changed.depth_1,16777216,9,12.776795,9.000001
1,plan.changed.depth_10,16777216,1,37.139301,18.000001
1,plan.changed.depth_10,16777216,2,36.999523,18.000001
1,plan.changed.depth_10,16777216,3,37.120870,18.000001
1,plan.changed.depth_10,16777216,4,37.084888,18.000001
1,plan.changed.depth_10,16777216,5,37.135663,18.000001
1,plan.changed.depth_10,16777216,6,36.828212,18.000001
1,plan.changed.depth_10,16777216,7,37.033260,18.000001
1,plan.changed.depth_10,16777216,8,36.913349,18.000001
1,plan.changed.depth_10,16777216,9,37.135607,18.000001
1,plan.changed.depth_100,2097152,1,308.105427,108.000005
1,plan.changed.depth_100,2097152,2,306.608626,108.000005
1,plan.changed.depth_100,2097152,3,306.671609,108.000005
1,plan.changed.depth_100,2097152,4,306.728339,108.000005
1,plan.changed.depth_100,2097152,5,306.687298,108.000005
1,plan.changed.depth_100,2097152,6,307.268238,108.000005
1,plan.changed.depth_100,2097152,7,307.300070,108.000005
1,plan.changed.depth_100,2097152,8,307.188543,108.000005
1,plan.changed.depth_100,2097152,9,306.684001,108.000005
1,plan.cutoff.depth_10,16777216,1,13.189137,19.000001
1,plan.cutoff.depth_10,16777216,2,13.201827,19.000001
1,plan.cutoff.depth_10,16777216,3,13.183183,19.000001
1,plan.cutoff.depth_10,16777216,4,13.190686,19.000001
1,plan.cutoff.depth_10,16777216,5,13.188483,19.000001
1,plan.cutoff.depth_10,16777216,6,13.193784,19.000001
