pair,name,operations,median_wall_ns,median_allocated_words
1,incremental.raw.changed.depth_1,16777216,33.306478,1e-06
1,incremental.raw.changed.depth_10,8388608,98.058479,1e-06
1,incremental.raw.changed.depth_100,1048576,984.693543,1e-05
1,incremental.raw.cutoff.depth_10,16777216,30.99602,1e-06
1,plan.changed.depth_1,16777216,12.784952,9.000001
1,plan.changed.depth_10,16777216,37.084888,18.000001
1,plan.changed.depth_100,2097152,306.728339,108.000005
1,plan.cutoff.depth_10,16777216,13.189137,19.000001
1,raw.changed.depth_1,16777216,20.131353,4.000001
1,raw.changed.depth_10,16777216,51.260642,4.000001
1,raw.changed.depth_100,1048576,520.106369,4.00001
1,raw.cutoff.depth_10,16777216,18.460568,4.000001
1,raw.fan_in.diamond,8388608,60.74464,16.000001
2,incremental.raw.changed.depth_1,16777216,32.210636,1e-06
2,incremental.raw.changed.depth_10,8388608,96.797123,1e-06
2,incremental.raw.changed.depth_100,1048576,981.467338,1e-05
2,incremental.raw.cutoff.depth_10,16777216,30.890178,1e-06
2,plan.changed.depth_1,16777216,12.797059,9.000001
2,plan.changed.depth_10,16777216,36.641723,18.000001
2,plan.changed.depth_100,2097152,303.886395,108.000005
2,plan.cutoff.depth_10,16777216,13.137225,19.000001
2,raw.changed.depth_1,16777216,19.757692,4.000001
2,raw.changed.depth_10,16777216,51.146628,4.000001
2,raw.changed.depth_100,1048576,521.666379,4.00001
2,raw.cutoff.depth_10,16777216,18.854507,4.000001
2,raw.fan_in.diamond,8388608,64.592115,16.000001
3,incremental.raw.changed.depth_1,16777216,32.232165,1e-06
3,incremental.raw.changed.depth_10,8388608,102.398502,1e-06
3,incremental.raw.changed.depth_100,524288,983.776317,1.9e-05
3,incremental.raw.cutoff.depth_10,16777216,31.006394,1e-06
3,plan.changed.depth_1,16777216,12.737033,9.000001
3,plan.changed.depth_10,16777216,37.007752,18.000001
3,plan.changed.depth_100,2097152,306.311563,108.000005
3,plan.cutoff.depth_10,16777216,13.156296,19.000001
3,raw.changed.depth_1,16777216,19.779506,4.000001
3,raw.changed.depth_10,16777216,51.222443,4.000001
3,raw.changed.depth_100,1048576,521.328047,4.00001
3,raw.cutoff.depth_10,16777216,18.455083,4.000001
3,raw.fan_in.diamond,8388608,61.405075,16.000001
