name,operations,sample,wall_ns,allocated_words
incremental.changed.depth_1,16777216,1,55.773555,6.000001
incremental.changed.depth_1,16777216,2,55.719383,6.000001
incremental.changed.depth_1,16777216,3,55.728322,6.000001
incremental.changed.depth_1,16777216,4,55.691658,6.000001
incremental.changed.depth_1,16777216,5,53.892009,6.000001
incremental.changed.depth_1,16777216,6,51.795070,6.000001
incremental.changed.depth_1,16777216,7,51.863125,6.000001
incremental.changed.depth_1,16777216,8,51.845959,6.000001
incremental.changed.depth_1,16777216,9,51.790181,6.000001
eta_signal.changed.depth_1,1048576,1,483.622671,328.000010
eta_signal.changed.depth_1,1048576,2,482.925316,328.000010
eta_signal.changed.depth_1,1048576,3,484.087877,328.000010
eta_signal.changed.depth_1,1048576,4,484.982593,328.000010
eta_signal.changed.depth_1,1048576,5,485.297960,328.000010
eta_signal.changed.depth_1,1048576,6,484.531483,328.000010
eta_signal.changed.depth_1,1048576,7,483.985104,328.000010
eta_signal.changed.depth_1,1048576,8,483.975555,328.000010
eta_signal.changed.depth_1,1048576,9,483.766598,328.000010
incremental.changed.depth_10,4194304,1,134.623292,6.000002
incremental.changed.depth_10,4194304,2,135.124708,6.000002
incremental.changed.depth_10,4194304,3,134.745108,6.000002
incremental.changed.depth_10,4194304,4,134.695313,6.000002
incremental.changed.depth_10,4194304,5,134.600612,6.000002
incremental.changed.depth_10,4194304,6,134.649724,6.000002
incremental.changed.depth_10,4194304,7,134.752497,6.000002
incremental.changed.depth_10,4194304,8,134.725610,6.000002
incremental.changed.depth_10,4194304,9,134.607262,6.000002
eta_signal.changed.depth_10,524288,1,1381.225502,472.000019
eta_signal.changed.depth_10,524288,2,1388.088094,472.000019
eta_signal.changed.depth_10,524288,3,1384.912593,472.000019
eta_signal.changed.depth_10,524288,4,1386.240001,472.000019
eta_signal.changed.depth_10,524288,5,1380.529739,472.000019
eta_signal.changed.depth_10,524288,6,1377.710305,472.000019
eta_signal.changed.depth_10,524288,7,1377.718036,472.000019
eta_signal.changed.depth_10,524288,8,1378.276920,472.000019
eta_signal.changed.depth_10,524288,9,1377.803983,472.000019
incremental.changed.depth_100,524288,1,1063.307081,6.000019
incremental.changed.depth_100,524288,2,1064.859589,6.000019
incremental.changed.depth_100,524288,3,1063.472610,6.000019
incremental.changed.depth_100,524288,4,1062.555384,6.000019
incremental.changed.depth_100,524288,5,1063.362106,6.000019
incremental.changed.depth_100,524288,6,1063.669060,6.000019
incremental.changed.depth_100,524288,7,1063.037871,6.000019
incremental.changed.depth_100,524288,8,1074.479769,6.000019
incremental.changed.depth_100,524288,9,1075.614819,6.000019
eta_signal.changed.depth_100,65536,1,15179.626644,2524.000153
eta_signal.changed.depth_100,65536,2,15154.557332,2524.000153
eta_signal.changed.depth_100,65536,3,15173.493011,2524.000153
eta_signal.changed.depth_100,65536,4,15157.347661,2524.000153
eta_signal.changed.depth_100,65536,5,15176.497982,2524.000153
eta_signal.changed.depth_100,65536,6,15174.075088,2524.000153
eta_signal.changed.depth_100,65536,7,15179.684851,2524.000153
eta_signal.changed.depth_100,65536,8,15175.384760,2524.000153
eta_signal.changed.depth_100,65536,9,15196.776076,2524.000153
incremental.cutoff.depth_10,16777216,1,32.437455,0.000001
incremental.cutoff.depth_10,16777216,2,32.421525,0.000001
incremental.cutoff.depth_10,16777216,3,32.413240,0.000001
incremental.cutoff.depth_10,16777216,4,32.419379,0.000001
incremental.cutoff.depth_10,16777216,5,32.406561,0.000001
incremental.cutoff.depth_10,16777216,6,32.409005,0.000001
incremental.cutoff.depth_10,16777216,7,32.408408,0.000001
incremental.cutoff.depth_10,16777216,8,32.432908,0.000001
incremental.cutoff.depth_10,16777216,9,32.418910,0.000001
eta_signal.cutoff.depth_10,524288,1,1203.405645,432.000019
eta_signal.cutoff.depth_10,524288,2,1194.753622,432.000019
eta_signal.cutoff.depth_10,524288,3,1195.863661,432.000019
eta_signal.cutoff.depth_10,524288,4,1197.820893,432.000019
eta_signal.cutoff.depth_10,524288,5,1197.198799,432.000019
eta_signal.cutoff.depth_10,524288,6,1205.062745,432.000019
eta_signal.cutoff.depth_10,524288,7,1219.190835,432.000019
eta_signal.cutoff.depth_10,524288,8,1228.859219,432.000019
eta_signal.cutoff.depth_10,524288,9,1220.417289,432.000019
incremental.dynamic.switch,4194304,1,140.626696,49.000002
incremental.dynamic.switch,4194304,2,144.530532,49.000002
incremental.dynamic.switch,4194304,3,141.422731,49.000002
incremental.dynamic.switch,4194304,4,143.570901,49.000002
incremental.dynamic.switch,4194304,5,140.854866,49.000002
