path	lines
lib/crux/bench/bench_eta_crux.ml	1075
lib/crux/crux_assoc.ml	108
lib/crux/crux_boundary.ml	891
lib/crux/crux_driver.ml	637
lib/crux/crux_driver_base.ml	136
lib/crux/crux_driver_serialized.ml	669
lib/crux/crux_failure.ml	124
lib/crux/crux_graph.ml	7
lib/crux/crux_graph_base.ml	716
lib/crux/crux_graph_commit.ml	90
lib/crux/crux_host.ml	180
lib/crux/crux_portable_failure.ml	316
lib/crux/crux_remote_registry.ml	167
lib/crux/crux_root.ml	624
lib/crux/crux_sha256.ml	141
lib/crux/crux_source.ml	111
lib/crux/crux_telemetry.ml	158
lib/crux/crux_wire.ml	495
lib/crux/eta_crux.ml	38
lib/crux/eta_crux.mli	674
lib/signal/bench/bench_signal.ml	106
lib/signal/eta_signal.ml	1
lib/signal/eta_signal.mli	786
lib/signal/eta_signal_bind.ml	450
lib/signal/eta_signal_bind.mli	155
lib/signal/eta_signal_cleanup.ml	53
lib/signal/eta_signal_cleanup.mli	10
lib/signal/eta_signal_debug.ml	202
lib/signal/eta_signal_debug.mli	89
lib/signal/eta_signal_error.ml	85
lib/signal/eta_signal_error.mli	41
lib/signal/eta_signal_graph.ml	1869
lib/signal/eta_signal_graph.mli	1018
lib/signal/eta_signal_graph_algorithms.ml	528
lib/signal/eta_signal_graph_algorithms.mli	337
lib/signal/eta_signal_id.ml	23
lib/signal/eta_signal_id.mli	24
lib/signal/eta_signal_lane.ml	311
lib/signal/eta_signal_lane.mli	35
lib/signal/eta_signal_observer.ml	859
lib/signal/eta_signal_observer.mli	275
lib/signal/eta_signal_scope.ml	131
lib/signal/eta_signal_scope.mli	85
lib/signal/eta_signal_stabilization.ml	210
lib/signal/eta_signal_stabilization.mli	61
lib/signal/eta_signal_stabilization_pass.ml	346
lib/signal/eta_signal_stabilization_pass.mli	210
lib/signal/eta_signal_timer.ml	978
lib/signal/eta_signal_timer.mli	278
lib/signal/eta_signal_timer_policy.ml	813
lib/signal/eta_signal_timer_policy.mli	411
lib/signal/eta_signal_transaction.ml	161
lib/signal/eta_signal_transaction.mli	55
lib/signal/kernel/eta_signal_kernel.ml	3738
lib/signal_map/api/eta_signal_map_api.ml	135
lib/signal_map/bench/bench_signal_map.ml	420
lib/signal_map/eta_signal_map.ml	1
lib/signal_map/eta_signal_map.mli	209
lib/signal_map/kernel/eta_signal_map_kernel.ml	372
lib/signal_map/kernel/eta_signal_map_kernel.mli	51
test/crux/conformance/test_eta_crux_conformance.ml	1011
test/crux/laws/test_eta_crux_laws.ml	3095
test/crux/negative/admission_must_be_handled_negative.ml	5
test/crux/negative/root_is_not_description_negative.ml	5
test/crux/negative/staged_effect_rejects_typed_error_negative.ml	4
test/crux/races/test_eta_crux_races.ml	980
test/crux/telemetry/test_eta_crux_telemetry.ml	440
test/crux/unit/test_eta_crux_core.ml	2111
test/crux/unit/test_eta_crux_test_surface.ml	341
test/crux/wire/test_eta_crux_crypto.ml	28
test/crux/wire/test_eta_crux_wire.ml	194
test/signal/bind/test_eta_signal_bind.ml	581
test/signal/cleanup/test_eta_signal_cleanup.ml	132
test/signal/contract/test_eta_signal_contract.ml	2344
test/signal/error/test_eta_signal_error.ml	159
test/signal/eta_signal_overflow_harness.ml	133
test/signal/eta_signal_overflow_harness.mli	103
test/signal/graph_algorithms/test_eta_signal_graph_algorithms.ml	725
test/signal/kernel/test_eta_signal_kernel.ml	82
test/signal/lane/test_eta_signal_lane.ml	418
test/signal/model/fuzz_eta_signal_model.ml	358
test/signal/model/test_eta_signal_model.ml	3556
test/signal/negative/computed_negative.ml	4
test/signal/negative/cross_graph_signal_negative.ml	6
test/signal/negative/derived_signal_delete_negative.ml	5
test/signal/negative/first_class_graph_negative.ml	3
test/signal/negative/global_graph_negative.ml	1
test/signal/negative/map10_negative.ml	9
test/signal/negative/map_mutation_value_negative.ml	10
test/signal/negative/observer_dispose_checked_negative.ml	4
test/signal/negative/observer_read_error_negative.ml	5
test/signal/negative/private_kernel_negative.ml	1
test/signal/negative/private_transaction_negative.ml	1
test/signal/negative/public_batch_negative.ml	3
test/signal/negative/public_boundary_positive.ml	36
test/signal/negative/public_expert_negative.ml	3
test/signal/negative/public_scope_negative.ml	3
test/signal/negative/raw_signal_read_negative.ml	5
test/signal/negative/stream_to_signal_negative.ml	3
test/signal/negative/time_constructor_effectful_negative.ml	4
test/signal/negative/time_deadline_raw_int_negative.ml	4
test/signal/scope/test_eta_signal_scope.ml	280
test/signal/stabilization/test_eta_signal_stabilization.ml	537
test/signal/stabilization_pass/test_eta_signal_stabilization_pass.ml	544
test/signal/test_eta_signal.ml	4330
test/signal/test_eta_signal_overflow.ml	330
test/signal/test_eta_signal_public.ml	751
test/signal/timer/test_eta_signal_timer.ml	947
test/signal/timer/test_eta_signal_timer_policy.ml	1270
test/signal/transaction/test_eta_signal_transaction.ml	157
test/signal_map/diagnostics/test_eta_signal_map_diagnostics.ml	457
test/signal_map/keyed/test_eta_signal_map_keyed.ml	155
test/signal_map/keyed_private/test_eta_signal_map_keyed_private.ml	117
test/signal_map/negative/keyed_aggregate_equal_negative.ml	9
test/signal_map/negative/keyed_cross_child_negative.ml	7
test/signal_map/negative/keyed_cross_graph_negative.ml	7
test/signal_map/negative/keyed_cutoff_alias_negative.ml	9
test/signal_map/negative/keyed_data_equal_negative.ml	9
test/signal_map/negative/keyed_direct_api_positive.ml	11
test/signal_map/negative/keyed_map_adapter_negative.ml	9
test/signal_map/negative/keyed_nested_map_alias_negative.ml	9
test/signal_map/negative/keyed_plain_data_negative.ml	9
test/signal_map/negative/keyed_testing_negative.ml	4
test/signal_map/negative/map_different_order_applications_reject_negative.ml	16
test/signal_map/negative/map_same_order_applications_unify_positive.ml	10
test/signal_map/test_eta_signal_map.ml	210
