name,operations,sample,wall_ns,allocated_words
incremental.changed.depth_1,16777216,1,33.585124,0.000001
incremental.changed.depth_1,16777216,2,33.592997,0.000001
incremental.changed.depth_1,16777216,3,33.703813,0.000001
incremental.changed.depth_1,16777216,4,33.741884,0.000001
incremental.changed.depth_1,16777216,5,33.701056,0.000001
incremental.changed.depth_1,16777216,6,33.243779,0.000001
incremental.changed.depth_1,16777216,7,33.152887,0.000001
incremental.changed.depth_1,16777216,8,33.192464,0.000001
incremental.changed.depth_1,16777216,9,33.351540,0.000001
eta_crux.changed.depth_1,16384,1,29118.105886,3663.000610
eta_crux.changed.depth_1,16384,2,30059.454730,3663.000610
eta_crux.changed.depth_1,16384,3,60718.128225,3663.000610
eta_crux.changed.depth_1,16384,4,16228.761524,3663.000610
eta_crux.changed.depth_1,16384,5,67164.917709,3663.000610
eta_crux.changed.depth_1,16384,6,18458.929844,3663.000610
eta_crux.changed.depth_1,16384,7,26040.332159,3663.000610
eta_crux.changed.depth_1,16384,8,39515.623939,3663.000610
eta_crux.changed.depth_1,16384,9,38681.522710,3663.000610
incremental.changed.depth_10,8388608,1,108.527416,0.000001
incremental.changed.depth_10,8388608,2,101.081497,0.000001
incremental.changed.depth_10,8388608,3,101.974962,0.000001
incremental.changed.depth_10,8388608,4,98.775871,0.000001
incremental.changed.depth_10,8388608,5,100.745211,0.000001
incremental.changed.depth_10,8388608,6,100.628483,0.000001
incremental.changed.depth_10,8388608,7,100.447522,0.000001
incremental.changed.depth_10,8388608,8,99.563493,0.000001
incremental.changed.depth_10,8388608,9,100.795518,0.000001
eta_crux.changed.depth_10,32768,1,30053.372029,4005.000305
eta_crux.changed.depth_10,32768,2,27419.104299,4005.000305
eta_crux.changed.depth_10,32768,3,58649.377024,4005.000305
eta_crux.changed.depth_10,32768,4,15903.715394,4005.000305
eta_crux.changed.depth_10,32768,5,69474.546763,4005.000305
eta_crux.changed.depth_10,32768,6,15358.156816,4005.000305
eta_crux.changed.depth_10,32768,7,27393.281925,4005.000305
eta_crux.changed.depth_10,32768,8,46076.478611,4005.000305
eta_crux.changed.depth_10,32768,9,33789.976442,4005.000305
incremental.changed.depth_100,524288,1,1064.060143,0.000019
incremental.changed.depth_100,524288,2,1093.868377,0.000019
incremental.changed.depth_100,524288,3,1090.864316,0.000019
incremental.changed.depth_100,524288,4,1083.276857,0.000019
incremental.changed.depth_100,524288,5,1084.192263,0.000019
incremental.changed.depth_100,524288,6,1113.697181,0.000019
incremental.changed.depth_100,524288,7,1100.055670,0.000019
incremental.changed.depth_100,524288,8,1100.471309,0.000019
incremental.changed.depth_100,524288,9,1104.492185,0.000019
eta_crux.changed.depth_100,16384,1,45522.581786,7425.000610
eta_crux.changed.depth_100,16384,2,41885.868995,7425.000610
eta_crux.changed.depth_100,16384,3,71479.676990,7425.000610
eta_crux.changed.depth_100,16384,4,31620.977097,7425.000610
eta_crux.changed.depth_100,16384,5,85626.830696,7425.000610
eta_crux.changed.depth_100,16384,6,27855.581720,7425.000610
eta_crux.changed.depth_100,16384,7,47015.142627,7425.000610
eta_crux.changed.depth_100,16384,8,72364.986409,7425.000610
eta_crux.changed.depth_100,16384,9,41167.542804,7425.000610
incremental.cutoff.depth_10,16777216,1,33.627160,0.000001
incremental.cutoff.depth_10,16777216,2,32.134125,0.000001
incremental.cutoff.depth_10,16777216,3,31.941894,0.000001
incremental.cutoff.depth_10,16777216,4,32.012409,0.000001
incremental.cutoff.depth_10,16777216,5,33.148638,0.000001
incremental.cutoff.depth_10,16777216,6,32.490007,0.000001
incremental.cutoff.depth_10,16777216,7,32.088153,0.000001
incremental.cutoff.depth_10,16777216,8,32.057415,0.000001
incremental.cutoff.depth_10,16777216,9,32.021461,0.000001
eta_crux.cutoff.depth_10,16384,1,30082.330341,3763.000610
eta_crux.cutoff.depth_10,16384,2,29635.804822,3763.000610
eta_crux.cutoff.depth_10,16384,3,60454.156483,3763.000610
eta_crux.cutoff.depth_10,16384,4,16945.064999,3763.000610
eta_crux.cutoff.depth_10,16384,5,66719.352617,3763.000610
eta_crux.cutoff.depth_10,16384,6,17261.903849,3763.000610
eta_crux.cutoff.depth_10,16384,7,26031.062589,3763.000610
eta_crux.cutoff.depth_10,16384,8,41389.532271,3763.000610
eta_crux.cutoff.depth_10,16384,9,37596.240873,3763.000610
incremental.dynamic.switch,4194304,1,121.039363,43.000002
incremental.dynamic.switch,4194304,2,124.055134,43.000002
incremental.dynamic.switch,4194304,3,121.259916,43.000002
incremental.dynamic.switch,4194304,4,121.387529,43.000002
incremental.dynamic.switch,4194304,5,121.884852,43.000002
incremental.dynamic.switch,4194304,6,123.043321,43.000002
incremental.dynamic.switch,4194304,7,127.839314,43.000002
incremental.dynamic.switch,4194304,8,124.355779,43.000002
incremental.dynamic.switch,4194304,9,118.918649,43.000002
eta_crux.dynamic.switch,32768,1,29726.805224,3981.000305
eta_crux.dynamic.switch,32768,2,27343.201509,3981.000305
eta_crux.dynamic.switch,32768,3,60207.545175,3981.000305
eta_crux.dynamic.switch,32768,4,15995.239664,3981.000305
eta_crux.dynamic.switch,32768,5,72955.961514,3981.000305
eta_crux.dynamic.switch,32768,6,18106.140487,3981.000305
eta_crux.dynamic.switch,32768,7,30411.014450,3981.000305
eta_crux.dynamic.switch,32768,8,53089.934227,3981.000305
eta_crux.dynamic.switch,32768,9,35616.852983,3981.000305
