name,operations,sample,wall_ns,allocated_words
incremental.changed.depth_1,16777216,1,33.551160,0.000001
incremental.changed.depth_1,16777216,2,33.552823,0.000001
incremental.changed.depth_1,16777216,3,32.811343,0.000001
incremental.changed.depth_1,16777216,4,32.426954,0.000001
incremental.changed.depth_1,16777216,5,32.150638,0.000001
incremental.changed.depth_1,16777216,6,32.566376,0.000001
incremental.changed.depth_1,16777216,7,33.520152,0.000001
incremental.changed.depth_1,16777216,8,32.530011,0.000001
incremental.changed.depth_1,16777216,9,32.285868,0.000001
eta_signal.changed.depth_1,65536,1,10988.085705,8795.001282
eta_signal.changed.depth_1,65536,2,11079.238902,8795.001282
eta_signal.changed.depth_1,65536,3,10970.536096,8795.001282
eta_signal.changed.depth_1,65536,4,10931.380530,8795.001282
eta_signal.changed.depth_1,65536,5,10949.417629,8795.001282
eta_signal.changed.depth_1,65536,6,11084.837752,8795.001282
eta_signal.changed.depth_1,65536,7,10956.100596,8795.001282
eta_signal.changed.depth_1,65536,8,10981.017112,8795.001282
eta_signal.changed.depth_1,65536,9,11075.469956,8795.001282
incremental.changed.depth_10,8388608,1,98.947055,0.000001
incremental.changed.depth_10,8388608,2,96.256969,0.000001
incremental.changed.depth_10,8388608,3,95.369671,0.000001
incremental.changed.depth_10,8388608,4,96.443642,0.000001
incremental.changed.depth_10,8388608,5,95.484012,0.000001
incremental.changed.depth_10,8388608,6,96.416329,0.000001
incremental.changed.depth_10,8388608,7,95.272185,0.000001
incremental.changed.depth_10,8388608,8,96.588991,0.000001
incremental.changed.depth_10,8388608,9,98.244669,0.000001
eta_signal.changed.depth_10,65536,1,14576.584363,12287.001282
eta_signal.changed.depth_10,65536,2,14554.960217,12287.001282
eta_signal.changed.depth_10,65536,3,14481.323888,12287.001282
eta_signal.changed.depth_10,65536,4,14550.412743,12287.001282
eta_signal.changed.depth_10,65536,5,14528.948668,12287.001282
eta_signal.changed.depth_10,65536,6,14599.536371,12287.001282
eta_signal.changed.depth_10,65536,7,14697.434381,12287.001282
eta_signal.changed.depth_10,65536,8,14585.664758,12287.001282
eta_signal.changed.depth_10,65536,9,14654.877305,12287.001282
incremental.changed.depth_100,524288,1,996.824383,0.000019
incremental.changed.depth_100,524288,2,979.845026,0.000019
incremental.changed.depth_100,524288,3,974.454906,0.000019
incremental.changed.depth_100,524288,4,982.679467,0.000019
incremental.changed.depth_100,524288,5,977.891887,0.000019
incremental.changed.depth_100,524288,6,975.046078,0.000019
incremental.changed.depth_100,524288,7,973.306669,0.000019
incremental.changed.depth_100,524288,8,973.236183,0.000019
incremental.changed.depth_100,524288,9,978.828211,0.000019
eta_signal.changed.depth_100,8192,1,71218.499215,49043.010254
eta_signal.changed.depth_100,8192,2,71209.360613,49043.010254
eta_signal.changed.depth_100,8192,3,71970.600402,49043.010254
eta_signal.changed.depth_100,8192,4,71846.676292,49043.010254
eta_signal.changed.depth_100,8192,5,71547.634434,49043.010254
eta_signal.changed.depth_100,8192,6,72004.651884,49043.010254
eta_signal.changed.depth_100,8192,7,71678.368840,49043.010254
eta_signal.changed.depth_100,8192,8,71593.764005,49043.010254
eta_signal.changed.depth_100,8192,9,71347.516496,49043.010254
incremental.cutoff.depth_10,16777216,1,33.135649,0.000001
incremental.cutoff.depth_10,16777216,2,33.059536,0.000001
incremental.cutoff.depth_10,16777216,3,31.058192,0.000001
incremental.cutoff.depth_10,16777216,4,31.045261,0.000001
incremental.cutoff.depth_10,16777216,5,31.197189,0.000001
incremental.cutoff.depth_10,16777216,6,31.053659,0.000001
incremental.cutoff.depth_10,16777216,7,31.038937,0.000001
incremental.cutoff.depth_10,16777216,8,31.090792,0.000001
incremental.cutoff.depth_10,16777216,9,31.079651,0.000001
eta_signal.cutoff.depth_10,65536,1,11549.636838,9780.001282
eta_signal.cutoff.depth_10,65536,2,11626.081687,9780.001282
eta_signal.cutoff.depth_10,65536,3,11577.620171,9780.001282
eta_signal.cutoff.depth_10,65536,4,11586.133041,9780.001282
eta_signal.cutoff.depth_10,65536,5,11531.508790,9780.001282
eta_signal.cutoff.depth_10,65536,6,11603.744497,9780.001282
eta_signal.cutoff.depth_10,65536,7,11588.286725,9780.001282
eta_signal.cutoff.depth_10,65536,8,11569.856724,9780.001282
eta_signal.cutoff.depth_10,65536,9,11539.548723,9780.001282
incremental.dynamic.switch,4194304,1,122.063682,43.000002
incremental.dynamic.switch,4194304,2,124.367261,43.000002
incremental.dynamic.switch,4194304,3,122.426968,43.000002
incremental.dynamic.switch,4194304,4,122.956749,43.000002
incremental.dynamic.switch,4194304,5,124.876465,43.000002
incremental.dynamic.switch,4194304,6,121.855976,43.000002
incremental.dynamic.switch,4194304,7,122.852327,43.000002
incremental.dynamic.switch,4194304,8,125.952226,43.000002
incremental.dynamic.switch,4194304,9,125.155452,43.000002
eta_signal.dynamic.switch,32768,1,21695.770556,16339.002563
eta_signal.dynamic.switch,32768,2,21280.146029,16339.002563
eta_signal.dynamic.switch,32768,3,21388.274035,16339.002563
eta_signal.dynamic.switch,32768,4,21416.228265,16339.002563
eta_signal.dynamic.switch,32768,5,21447.420295,16339.002563
eta_signal.dynamic.switch,32768,6,21273.495804,16339.002563
eta_signal.dynamic.switch,32768,7,21639.345505,16339.002563
eta_signal.dynamic.switch,32768,8,20902.189135,16339.002563
eta_signal.dynamic.switch,32768,9,20939.514798,16339.002563
incr_map.data_change.10000,2097152,1,262.940034,180.000005
incr_map.data_change.10000,2097152,2,263.881702,180.000005
incr_map.data_change.10000,2097152,3,268.562303,180.000005
incr_map.data_change.10000,2097152,4,276.616561,180.000005
incr_map.data_change.10000,2097152,5,277.528670,180.000005
incr_map.data_change.10000,2097152,6,263.045763,180.000005
incr_map.data_change.10000,2097152,7,263.449238,180.000005
