name,operations,sample,wall_ns,allocated_words
incremental.changed.depth_1,16777216,1,53.179150,6.000001
incremental.changed.depth_1,16777216,2,50.765394,6.000001
incremental.changed.depth_1,16777216,3,50.678608,6.000001
incremental.changed.depth_1,16777216,4,50.809319,6.000001
incremental.changed.depth_1,16777216,5,51.161649,6.000001
incremental.changed.depth_1,16777216,6,51.464980,6.000001
incremental.changed.depth_1,16777216,7,51.287117,6.000001
incremental.changed.depth_1,16777216,8,50.986046,6.000001
incremental.changed.depth_1,16777216,9,51.002687,6.000001
eta_signal.changed.depth_1,1048576,1,480.386689,334.000010
eta_signal.changed.depth_1,1048576,2,480.540166,334.000010
eta_signal.changed.depth_1,1048576,3,480.009021,334.000010
eta_signal.changed.depth_1,1048576,4,480.675908,334.000010
eta_signal.changed.depth_1,1048576,5,480.214112,334.000010
eta_signal.changed.depth_1,1048576,6,480.072913,334.000010
eta_signal.changed.depth_1,1048576,7,481.449206,334.000010
eta_signal.changed.depth_1,1048576,8,481.324150,334.000010
eta_signal.changed.depth_1,1048576,9,481.446250,334.000010
incremental.changed.depth_10,4194304,1,122.586016,6.000002
incremental.changed.depth_10,4194304,2,115.368380,6.000002
incremental.changed.depth_10,4194304,3,116.430328,6.000002
incremental.changed.depth_10,4194304,4,116.816750,6.000002
incremental.changed.depth_10,4194304,5,115.612011,6.000002
incremental.changed.depth_10,4194304,6,116.540946,6.000002
incremental.changed.depth_10,4194304,7,117.605907,6.000002
incremental.changed.depth_10,4194304,8,117.758304,6.000002
incremental.changed.depth_10,4194304,9,117.477157,6.000002
eta_signal.changed.depth_10,524288,1,1345.956662,478.000019
eta_signal.changed.depth_10,524288,2,1343.943040,478.000019
eta_signal.changed.depth_10,524288,3,1344.522389,478.000019
eta_signal.changed.depth_10,524288,4,1352.382696,478.000019
eta_signal.changed.depth_10,524288,5,1352.172603,478.000019
eta_signal.changed.depth_10,524288,6,1353.488642,478.000019
eta_signal.changed.depth_10,524288,7,1350.867933,478.000019
