# Effet bench: mainline 5.4.1 vs oxcaml 5.2.0+ox
# CPU: AMD Ryzen 9 9950X 16-Core Processor
# Mainline total: 189700 ms  Oxcaml total: 183351 ms

benchmark                                                        mainline_ns       oxcaml_ns    ratio  verdict   
--------------------------------------------------------------------------------------------------------------
effect.concurrency.all.2                                            41627.88        23031.23    0.553  faster    
effect.concurrency.all.64                                           49400.33        29945.37    0.606  faster    
effect.concurrency.all.8                                            41770.94        23269.65    0.557  faster    
effect.concurrency.all.heavy.2                                      44012.07        23937.23    0.544  faster    
effect.concurrency.all.heavy.64                                    157403.95        74386.60    0.473  faster    
effect.concurrency.all.heavy.8                                      51975.25        28133.39    0.541  faster    
effect.concurrency.for_each_par.512                                536632.54       512027.74    0.954  same      
effect.concurrency.for_each_par.64                                 104188.92        66804.89    0.641  faster    
effect.concurrency.for_each_par.8                                   47159.19        27132.03    0.575  faster    
effect.concurrency.for_each_par_bounded.512.1                      478601.46       396203.99    0.828  faster    
effect.concurrency.for_each_par_bounded.512.2                      523948.67       395631.79    0.755  faster    
effect.concurrency.for_each_par_bounded.512.4                      456285.48       446653.37    0.979  same      
effect.concurrency.for_each_par_bounded.512.8                      459623.34       394153.59    0.858  faster    
effect.concurrency.par.success.2                                    89788.44        66328.05    0.739  faster    
effect.concurrency.par.success.heavy                                79154.97        42009.35    0.531  faster    
effect.concurrency.race.all_fail                                    42819.98        23651.12    0.552  faster    
effect.concurrency.race.success                                     45061.11        25558.47    0.567  faster    
effect.concurrency.supervisor.start_await.1                         61368.94        23794.17    0.388  faster    
effect.concurrency.supervisor.start_await.64                        84781.65        61368.94    0.724  faster    
effect.concurrency.supervisor.start_await.64.with_finalizer         96130.37        96940.99    1.008  same      
effect.core.bind_left.100k                                        4646968.84      2305603.03    0.496  faster    
effect.core.bind_left.10k                                          324773.79       167608.26    0.516  faster    
effect.core.bind_left.1k                                            74577.33        37193.30    0.499  faster    
effect.core.bind_right.100k                                       8056688.31      4748010.64    0.589  faster    
effect.core.bind_right.10k                                         670862.20       382804.87    0.571  faster    
effect.core.bind_right.1k                                           66423.42        35429.00    0.533  faster    
effect.core.catch_failure                                           41198.73        25272.37    0.613  faster    
effect.core.catch_success                                           40197.37        29563.90    0.735  faster    
effect.core.fail_then_catch                                         40817.26        21982.19    0.539  faster    
effect.core.map_chain.100k                                        5820560.46       889253.62    0.153  faster    
effect.core.map_chain.10k                                          403642.65        90074.54    0.223  faster    
effect.core.map_chain.1k                                            78630.45        44393.54    0.565  faster    
effect.core.pure_run                                                98657.61        59175.49    0.600  faster    
effect.core.runtime_create_run_shutdown                             40388.11        21600.72    0.535  faster    
effect.core.tap_error_failure                                       40578.84        22506.71    0.555  faster    
effect.core.thunk.1                                                 50020.22        24557.11    0.491  faster    
effect.core.thunk.100                                               41008.00        22220.61    0.542  faster    
effect.core.thunk.10000                                             86402.89        61368.94    0.710  faster    
effect.observability.cause.construction.concurrent                  17356.87        18596.65    1.071  slower    
effect.observability.cause.construction.fail                         9393.69         9632.11    1.025  same      
effect.observability.cause.construction.suppressed                   8678.44        11539.46    1.330  slower    
effect.observability.effet_otel.encoder.log.100                     44631.96        49400.33    1.107  slower    
effect.observability.effet_otel.encoder.metric.100                  12445.45        15640.26    1.257  slower    
effect.observability.effet_otel.encoder.span.100                    60415.27        64420.70    1.066  slower    
effect.observability.effet_otel.encoder.span.1000                 1620912.55       513362.88    0.317  faster    
